"Height","Lenght","Area","Eccen","P_black","P_and","Mean_tr","Blackpix","Blackand","Wb_trans","Class"
28,31,868,1.107,0.508,0.767,7.47,441,666,59,"positive"
174,471,81954,2.707,0.339,0.433,15.84,27820,35499,1756,"positive"
93,104,9672,1.118,0.451,0.611,4.25,4366,5908,1028,"positive"
28,32,896,1.143,0.488,0.743,7.05,437,666,62,"positive"
153,158,24174,1.033,0.587,0.641,46.95,14180,15491,302,"positive"
128,347,44416,2.711,0.399,0.567,13.07,17721,25163,1356,"positive"
72,96,6912,1.333,0.488,0.582,15.69,3374,4025,215,"positive"
64,73,4672,1.141,0.403,0.445,72.38,1882,2077,26,"positive"
28,32,896,1.143,0.462,0.722,7.02,414,647,59,"positive"
187,137,25619,0.733,0.899,0.991,29.29,23025,25400,786,"positive"
65,50,3250,0.769,0.454,0.487,245.83,1475,1582,6,"positive"
29,31,899,1.069,0.463,0.726,6.93,416,653,60,"positive"
28,31,868,1.107,0.492,0.745,7.49,427,647,57,"positive"
186,469,87234,2.522,0.378,0.529,22.29,33017,46133,1481,"positive"
28,32,896,1.143,0.481,0.742,7.43,431,665,58,"positive"
29,32,928,1.103,0.476,0.72,7.25,442,668,61,"positive"
168,145,24360,0.863,0.798,0.963,13.06,19430,23457,1488,"positive"
28,31.2185255775694,874.118716171943,1.1148669207925,0.502099809405627,0.761536860560766,7.46125897689722,438.814744224306,665.781474422431,58.7814744224306,"positive"
28.2814530897886,31,876.725045783445,1.09630478258803,0.495334610959515,0.755460423318669,7.31801533151418,433.963672755286,662.341109832749,59.2814530897886,"positive"
28,31,868,1.107,0.500441229697317,0.756606690833811,7.47944846287835,434.386075985152,657.023960265564,58.0551537121646,"positive"
28.613658255199,31,887.023405911168,1.08368098630244,0.480385378516046,0.741840011536842,7.13862454219256,425.658543620026,658.022442682413,59.613658255199,"positive"
28,31.661202498246,886.513669950888,1.13080328993686,0.49477595003508,0.751131140042096,7.19229495073669,438.355190007016,666,60.983607494738,"positive"
28.9098350603599,31,896.204886871157,1.07242626770632,0.467057422283804,0.729696762525244,6.97868906740565,418.254123491002,654.172144215321,59.9098350603599,"positive"
28,31.7546318126842,889.129690755159,1.13416674525663,0.492907363746315,0.748888836495578,7.15305463867262,437.981472749263,666,61.2638954380527,"positive"
28,31.3880281643942,878.864788603038,1.12096901391819,0.500239436712116,0.757687324054539,7.30702817095444,439.447887342423,666,60.1640844931826,"positive"
28,31.9258498884737,893.923796877265,1.14033059598505,0.489483002230525,0.74477960267663,7.08114304684103,437.296600446105,666,61.7775496654212,"positive"
28,31.2875680245925,876.051904688589,1.11735244888533,0.500235663336003,0.759810799385188,7.4584972790163,438.124319754075,665.712431975408,58.7124319754075,"positive"
28,31.4567472185008,880.788922118023,1.12344289986603,0.495667825100478,0.755581319537479,7.45173011125997,436.432527814992,665.543252781499,58.5432527814992,"positive"
28,31.1502392101102,872.206697883084,1.11240861156397,0.504995215797797,0.763394258957356,7.40689953175373,440.399043159559,666,59.4507176303305,"positive"
28.8164528645575,31,893.310038801283,1.07597479114681,0.471259621094912,0.733525432553142,7.02911545313895,420.588678386062,655.386112760752,59.8164528645575,"positive"
28.8918121908791,31,895.646177917253,1.07311113674659,0.467868451410439,0.730435700173955,6.98842141692527,418.704695228022,654.406441518571,59.8918121908791,"positive"
28.6788828345016,31,889.045367869548,1.08120245228894,0.47745027244743,0.739165803785436,7.10340326936915,424.027929137461,657.17452315148,59.6788828345016,"positive"
28,31.1740352544002,872.872987123206,1.11326526915841,0.504519294911996,0.762823153894395,7.39690519315191,440.303858982399,666,59.5221057632007,"positive"
28,31,868,1.107,0.507293487485498,0.76602854529256,7.47088314064313,440.381801549811,665.161016389029,58.9116859356873,"positive"
28,31.2060626973398,873.769755525514,1.11441825710423,0.502436307171825,0.761848432566505,7.46175749210641,438.939373026602,665.79393730266,58.7939373026602,"positive"
184.300061671529,206.367646285333,37319.0789026474,1.14297525080014,0.782694964312017,0.875110339439474,26.4966022678511,24020.8618680784,27497.4367060945,987.456936816685,"positive"
169.760382344481,459.571465450339,78494.2876618938,2.70736866240483,0.344529936072417,0.44535019056173,15.5847012846568,26889.2195934111,34546.376345925,1719.13375951722,"positive"
186.123986997874,159.506795593072,29415.1686519033,0.866019205091987,0.861264055293053,0.95339882652415,28.3836634708778,23348.1140265532,26080.5273314205,851.364047081675,"positive"
136.626275436021,370.253438131884,51455.4158112472,2.71024988909252,0.387748336387798,0.541871284599416,13.58945180343,19614.8425136604,27101.2865849286,1431.01109074801,"positive"
179.456576267257,470.090570622124,84354.8935575932,2.62287778254645,0.356733872868586,0.476652610138059,18.7729097436508,30183.1522384114,40334.4360021679,1630.95346054202,"positive"
159.631372917444,432.267179168761,70228.5755777173,2.70824944583327,0.357741687498987,0.474856435414404,14.9747587604634,24665.4616324622,32270.4319668412,1631.05541667342,"positive"
181.549789938144,469.741701676976,85275.9075727835,2.59060740512027,0.363536817298969,0.493398319505155,19.8980120917526,31089.688192378,42189.3721835189,1582.98398058419,"positive"
175.565653483383,470.739057752769,82642.8875326887,2.68286284213117,0.344088373820996,0.445525227867067,16.6815387473186,28498.0584294286,36886.4299285249,1720.1204410058,"positive"
185.451549922116,176.783255847171,32329.1488567377,0.968126188749447,0.83229753510654,0.924535758195445,27.6879497271124,23596.1398556503,26602.9074874269,901.538198119029,"positive"
171.779521772638,465.014363039285,80141.993223941,2.70719308506325,0.341896275948733,0.439468349618837,15.7062885937002,27332.5084865624,35000.0681965649,1736.69149367511,"positive"
128.941850681324,349.538901836611,45184.5911059896,2.71091809994075,0.397771499111317,0.564256348015275,13.1267157910275,17927.7771745801,25374.6297530904,1364.19000592455,"positive"
185.065922543406,469.155679576099,86823.0059190989,2.53640036078915,0.374964248266071,0.521527380347252,21.787933367081,32612.466621507,45305.251693882,1502.4059417136,"positive"
179.224805683829,470.129199052695,84252.9145008847,2.6264509123743,0.355980618472444,0.474798445470631,18.648333055058,30082.7762615716,40129.0486368197,1636.26486974559,"positive"
129.232241638936,350.321694852784,45421.5627530953,2.71089284855314,0.39739272829704,0.563410426530056,13.1442023769533,17991.5306154699,25439.8793386966,1366.7151446864,"positive"
177.489506335463,381.346529535018,66832.3585070516,2.1771318841381,0.489317195989192,0.582780348860659,19.4502969393833,26532.9090093425,32788.1904244735,1495.62914266158,"positive"
142.148401203565,385.139168461785,55961.7105299877,2.70976970424317,0.380545563647524,0.525785092146136,13.921979811606,20827.189212061,28342.0842356533,1479.02957568318,"positive"
162.795821558684,440.797432027757,72810.9032536931,2.7079742763862,0.353614145793021,0.465638258937746,15.1653136025555,25360.1956939381,32981.4698180556,1658.57236137986,"positive"
181.592714924132,275.925631949212,49051.2619037691,1.5540754415202,0.66607079673186,0.758902686743531,23.6955396715063,25019.4563029835,29600.6286139374,1189.46665566089,"positive"
90.4301751698367,103.021019112319,9334.25159374997,1.14431011135643,0.455527786605526,0.607451194282155,5.64994266938418,4244.60636992753,5677.57237356203,928.511067289393,"positive"
