"idx","Height","Lenght","Area","Eccen","P_black","P_and","Mean_tr","Blackpix","Blackand","Wb_trans","Class"
4852,197,198,39006,1.005,0.273,0.332,46.93,10654,12964,227,"positive"
3994,6,13,78,2.167,0.346,0.846,2.7,27,66,10,"negative"
3327,8,12,96,1.5,0.396,0.844,2.11,38,81,18,"negative"
3052,7,20,140,2.857,0.464,0.9,2.71,65,126,24,"negative"
3845,10,83,830,8.3,0.208,0.667,1.44,173,554,120,"negative"
3139,8,9,72,1.125,0.361,0.903,1.63,26,65,16,"negative"
3240,8,9,72,1.125,0.375,0.986,2.08,27,71,13,"negative"
2770,8,10,80,1.25,0.375,0.85,1.88,30,68,16,"negative"
2070,7,21,147,3,0.259,0.837,1.46,38,123,26,"negative"
2465,4,11,44,2.75,0.159,0.932,1.75,7,41,4,"positive"
597,9,82,738,9.111,0.309,0.778,1.93,228,574,118,"negative"
917,8,43,344,5.375,0.494,0.953,3.4,170,328,50,"negative"
3757,9,207,1863,23,0.177,0.632,1.29,330,1178,255,"negative"
477,9,41,369,4.556,0.444,0.976,2.88,164,360,57,"negative"
4223,7,70,490,10,0.535,0.971,3.23,262,476,81,"negative"
2997,8,12,96,1.5,0.531,0.813,2.83,51,78,18,"negative"
4114,5,10,50,2,0.28,0.74,7,14,37,2,"negative"
884,8,53,424,6.625,0.33,0.894,1.63,140,379,86,"negative"
786,9,64,576,7.111,0.307,0.842,1.99,177,485,89,"negative"
4200,12,45,540,3.75,0.467,0.694,6.63,252,375,38,"negative"
3748,8,186,1488,23.25,0.399,0.812,2.53,593,1208,234,"negative"
5133,105,2,210,0.019,0.529,0.533,111,111,112,1,"positive"
2421,9,91,819,10.111,0.32,0.773,2.2,262,633,119,"negative"
4019,9,186,1674,20.667,0.16,0.814,1.26,268,1363,213,"negative"
5338,7,346,2422,49.429,0.167,0.707,1.19,404,1712,339,"negative"
329,11,85,935,7.727,0.25,0.664,1.73,234,621,135,"negative"
4197,7,7,49,1,0.918,0.959,22.5,45,47,2,"negative"
3808,13,38,494,2.923,0.285,0.907,3.62,141,448,39,"negative"
1012,13,151,1963,11.615,0.302,0.726,2.59,593,1425,229,"negative"
3824,9,249,2241,27.667,0.301,0.739,1.96,674,1655,344,"negative"
3095,10,25,250,2.5,0.34,0.816,1.89,85,204,45,"negative"
4270,9,82,738,9.111,0.335,0.73,2.47,247,539,100,"negative"
1460,7,14,98,2,0.357,0.959,1.84,35,94,19,"negative"
4649,16,309,4944,19.313,0.382,0.549,5.38,1890,2713,351,"negative"
4992,9,9,81,1,0.321,0.395,13,26,32,2,"negative"
513,12,85,1020,7.083,0.305,0.828,1.94,311,845,160,"negative"
5397,11,11,121,1,0.455,0.876,4.23,55,106,13,"negative"
2728,8,22,176,2.75,0.403,1,2.03,71,176,35,"negative"
2289,6,20,120,3.333,0.367,0.967,1.38,44,116,32,"negative"
4831,7,110,770,15.714,0.174,0.447,1.25,134,344,107,"negative"
2457,10,33,330,3.3,0.318,0.758,2.33,105,250,45,"negative"
