"Height","Lenght","Area","Eccen","P_black","P_and","Mean_tr","Blackpix","Blackand","Wb_trans","Class"
105,2,210,0.019,0.529,0.533,111,111,112,1,"positive"
1,283,283,283,0.993,1,140.5,281,283,2,"positive"
1,8,8,8,1,1,8,8,8,1,"positive"
1,20,20,20,0.85,1,8.5,17,20,2,"positive"
85,69,5865,0.812,0.165,0.441,1.44,969,2588,674,"positive"
24,510,12240,21.25,0.846,0.927,38.65,10359,11341,268,"positive"
1,19,19,19,0.789,1,3.75,15,19,4,"positive"
7,1,7,0.143,1,1,7,7,7,1,"positive"
37,1,37,0.027,1,1,37,37,37,1,"positive"
1,11,11,11,0.909,1,10,10,11,1,"positive"
93,4,372,0.043,0.419,0.565,2.89,156,210,54,"positive"
29,61,1769,2.103,0.121,0.431,1.78,214,762,120,"positive"
1,45,45,45,0.756,1,5.67,34,45,6,"positive"
1,28,28,28,0.464,1,2.17,13,28,6,"positive"
84,1,84,0.012,1,1,84,84,84,1,"positive"
25,169,4225,6.76,0.215,0.947,1.57,907,4000,579,"positive"
1,106,106,106,0.434,1,1.02,46,106,45,"positive"
1,46,46,46,0.783,1,12,36,46,3,"positive"
20,39,780,1.95,0.14,0.405,3.21,109,316,34,"positive"
1,17,17,17,0.765,1,6.5,13,17,2,"positive"
2,22,44,11,0.477,1,21,21,44,1,"positive"
29,32,928,1.103,0.432,0.689,6.27,401,639,64,"positive"
1,22,22,22,0.955,1,21,21,22,1,"positive"
197,198,39006,1.005,0.273,0.332,46.93,10654,12964,227,"positive"
3,54,162,18,0.364,0.519,8.43,59,84,7,"positive"
19,2,38,0.105,0.816,0.816,31,31,31,1,"positive"
4,115,460,28.75,0.426,0.487,17.82,196,224,11,"positive"
30,60,1800,2,0.154,0.457,1.85,278,823,150,"positive"
7,2,14,0.286,0.643,0.714,9,9,10,1,"positive"
1,44,44,44,0.25,1,2.2,11,44,5,"positive"
6,5,30,0.833,0.367,1,2.2,11,30,5,"positive"
