"Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight","Class"
0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,"positive"
0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,"positive"
0.505,0.425,0.14,0.85,0.275,0.1625,0.285,"positive"
0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,"positive"
0.66,0.52,0.18,1.514,0.526,0.2975,0.42,"positive"
0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,"positive"
0.605,0.485,0.165,1.0105,0.435,0.209,0.3,"positive"
0.68,0.55,0.175,1.798,0.815,0.3925,0.455,"positive"
0.68,0.58,0.2,1.787,0.585,0.453,0.6,"positive"
0.54,0.41,0.145,0.989,0.2815,0.213,0.355,"positive"
0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,"positive"
0.59,0.45,0.16,0.9,0.358,0.156,0.315,"positive"
0.53,0.41,0.165,0.8115,0.24,0.169,0.24,"positive"
0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,"positive"
0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,"positive"
0.695,0.57,0.23,1.885,0.8665,0.435,0.5,"positive"
0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,"positive"
0.56,0.45,0.185,1.07,0.3805,0.175,0.41,"positive"
0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,"positive"
0.58,0.46,0.15,0.9955,0.429,0.212,0.26,"positive"
0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,"positive"
0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,"positive"
0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,"positive"
0.69,0.55,0.2,1.8465,0.732,0.472,0.57,"positive"
0.525,0.395,0.165,0.782,0.285,0.1405,0.285,"positive"
0.560807102145627,0.450504438841017,0.184899112231797,1.0722296196773,0.381589587896597,0.176462872638949,0.41030266330461,"positive"
0.563484354168177,0.45217772135511,0.184564455728978,1.07962552838959,0.385203878127038,0.18131539192982,0.411306632813066,"positive"
0.598902622601017,0.474314139125636,0.180137172174873,1.17746849493531,0.433018540511373,0.245511003464344,0.424588483475381,"positive"
0.573093419289216,0.45818338705576,0.183363322588848,1.10617057078646,0.398176116040442,0.198731822461705,0.414910032233456,"positive"
0.553536684110295,0.443536684110295,0.162378394386033,0.956568806135678,0.337842115127947,0.159488041864708,0.351830156992655,"positive"
0.558653218029067,0.448653218029067,0.180286263101734,1.04636397641012,0.371611238991842,0.171767723269761,0.397878962261602,"positive"
0.550557613882702,0.440557613882702,0.151951648589456,0.904286123641417,0.318180251625832,0.152338273318484,0.325018524944317,"positive"
0.553527792342939,0.443527792342938,0.162347273200285,0.95641275561857,0.337783429463394,0.159466701623052,0.351750131086446,"positive"
0.548951526245801,0.438951526245801,0.153145421262598,0.915679169834824,0.316596947508398,0.175219743722002,0.321048473754199,"positive"
0.547439244912239,0.437439244912239,0.157682265263284,0.946227252772776,0.319621510175522,0.210153442527284,0.322560755087761,"positive"
0.546100602870574,0.436100602870574,0.161698191388277,0.973267822014401,0.322298794258852,0.241076073689735,0.323899397129426,"positive"
0.546036198728252,0.436036198728252,0.161891403815243,0.974568785689305,0.322427602543496,0.242563809377374,0.323963801271748,"positive"
0.545188668119954,0.435188668119954,0.164433995640138,0.99168890397693,0.324122663760092,0.262141766429064,0.324811331880046,"positive"
0.54742452174658,0.43742452174658,0.157726434760261,0.946524660719093,0.319650956506841,0.210493547654012,0.32257547825342,"positive"
0.546603759493446,0.436603759493446,0.160188721519662,0.963104058232391,0.321292481013108,0.229453155701398,0.323396240506554,"positive"
0.547617554856697,0.437617554856697,0.157147335429909,0.942625391894719,0.319264890286606,0.206034482810297,0.322382445143303,"positive"
0.534189695481909,0.43472989849397,0.14648659899598,0.87886536553211,0.300622066034121,0.155040411154623,0.30770309648593,"positive"
0.528809542189119,0.43293651406304,0.14529100937536,0.873544991720351,0.295899487032671,0.156415339218336,0.30351853281376,"positive"
0.513739510658197,0.427913170219399,0.141942113479599,0.858642404984217,0.282671348244417,0.160266569498461,0.291797397178598,"positive"
0.535826973647345,0.435275657882448,0.146850438588299,0.88048445171793,0.302059232423781,0.154621995623456,0.308976535059046,"positive"
0.542934765154496,0.437644921718165,0.14842994781211,0.88751326776389,0.308298293857835,0.152805560016073,0.314504817342386,"positive"
0.513893376888009,0.42796445896267,0.141976305975113,0.858794561589253,0.282806408601697,0.16022724812862,0.291917070912896,"positive"
0.523692923653871,0.43123097455129,0.144153983034194,0.868485224502161,0.291408232985064,0.157722919510677,0.299538940619677,"positive"
0.521547600766644,0.430515866922215,0.14367724461481,0.866363738535903,0.289525116228499,0.158271168692969,0.297870356151834,"positive"
0.453428382298443,0.356714191149222,0.12239986760891,0.42900477620028,0.124853714541299,0.0712997352178209,0.163771220528288,"positive"
0.548836640967056,0.438603969160467,0.150116335903294,0.889043846135493,0.313359908147715,0.150662625880446,0.317556946030818,"positive"
0.53529404210858,0.422352850530297,0.151470595789142,0.825529057489242,0.300088161266409,0.146735272211488,0.289117488428019,"positive"
0.455238784151152,0.357619392075576,0.123667148905806,0.437984369389713,0.130321128136478,0.0738342978116125,0.165762662566267,"positive"
0.544965828524437,0.433958994229324,0.150503417147556,0.870889735779609,0.309566511953948,0.149540090272087,0.309428239901317,"positive"
0.496510215976741,0.378255107988371,0.152557151183719,0.642690671244636,0.254960852249758,0.131614302367438,0.211161237574415,"positive"
0.507189509959426,0.388627411951311,0.154281049004057,0.693718801709707,0.272545719760237,0.138584957888233,0.230097970914794,"positive"
0.514853834710084,0.397824601652101,0.153514616528992,0.729664484790294,0.280056758015882,0.140807612065924,0.246193052891176,"positive"
0.584401411598083,0.46814660948934,0.159382203163113,0.967055704461411,0.389870365410345,0.187277852230705,0.307490395782515,"positive"
0.568653308734065,0.455261798055144,0.155087266018381,0.933841523875482,0.355367703680997,0.170670761937741,0.313216978642158,"positive"
0.593086413106648,0.47525251981453,0.161750839938177,0.985373162188567,0.40889841417002,0.196436581094284,0.304332213415764,"positive"
0.564955361594912,0.452236204941291,0.15407873498043,0.926042217181995,0.347265837676125,0.166771108590998,0.314561686692759,"positive"
0.560805852194317,0.44884115179535,0.15294705059845,0.917290524628013,0.338174639807548,0.162395262314007,0.316070599202067,"positive"
0.589778465908021,0.472546017561108,0.160848672520369,0.978396400824189,0.4016510025803,0.192948200412095,0.305535103306174,"positive"
0.598721312414855,0.47986289197579,0.163287630658597,0.997257677093148,0.421243966290727,0.202378838546574,0.302283159121871,"positive"
0.583193588865688,0.467158390890108,0.159052796963369,0.964508296516724,0.387224135605735,0.186004148258362,0.307929604048841,"positive"
