"Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight","Class"
0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,"positive"
0.5,0.405,0.14,0.6735,0.265,0.124,0.25,"positive"
0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,"positive"
0.725,0.56,0.21,2.141,0.65,0.398,1.005,"positive"
0.565,0.48,0.175,0.957,0.3885,0.215,0.275,"positive"
0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,"positive"
0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,"positive"
0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,"positive"
0.655,0.5,0.18,1.4155,0.508,0.314,0.445,"positive"
0.545,0.41,0.145,0.873,0.3035,0.196,0.31,"positive"
0.605,0.475,0.16,1.616,0.5495,0.332,0.34,"positive"
0.65,0.525,0.18,1.626,0.597,0.3445,0.53,"positive"
0.485,0.38,0.14,0.673,0.2175,0.13,0.195,"positive"
0.565,0.455,0.15,0.8205,0.365,0.159,0.26,"positive"
0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,"positive"
0.7,0.53,0.19,1.3185,0.548,0.233,0.42,"positive"
0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,"positive"
0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,"positive"
0.64,0.54,0.175,1.571,0.627,0.271,0.475,"positive"
0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,"positive"
0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,"positive"
0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,"positive"
0.545,0.405,0.175,0.98,0.2585,0.207,0.38,"positive"
0.61,0.5,0.24,1.642,0.532,0.3345,0.69,"positive"
0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,"positive"
0.565,0.455,0.17,0.9065,0.342,0.156,0.32,"positive"
0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,"positive"
0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,"positive"
0.645,0.485,0.155,1.489,0.5915,0.312,0.38,"positive"
0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,"positive"
0.635,0.51,0.155,1.156,0.428,0.289,0.315,"positive"
0.465,0.35,0.13,0.494,0.1945,0.103,0.155,"positive"
0.520991849285783,0.433016301428434,0.180122260713251,0.951873610212817,0.295326082285494,0.206061130356626,0.342105959284818,"positive"
0.524997150923591,0.425005698152818,0.120042736146133,0.86656068532751,0.282509117044508,0.176021368073067,0.290037037993316,"positive"
0.520939840936335,0.43312031812733,0.180902385954978,0.952981388056069,0.295492509003729,0.206451192977489,0.342782067827648,"positive"
0.520183302407386,0.434633395185228,0.192250463889213,0.969095658722683,0.297913432296365,0.212125231944607,0.352617068703985,"positive"
0.521480390240904,0.432039219518192,0.172794146386441,0.941467687868746,0.293762751229107,0.20239707319322,0.335754926868249,"positive"
0.521060724024428,0.432878551951144,0.179089139633579,0.950406578279682,0.29510568312183,0.20554456981679,0.341210587682435,"positive"
0.52151747865486,0.431965042690281,0.172237820177106,0.940677704651491,0.293644068304449,0.202118910088553,0.335272777486825,"positive"
0.524550673271297,0.425898653457407,0.126739900930552,0.876070659321384,0.283937845531851,0.179369950465276,0.295841247473145,"positive"
0.520087414799491,0.434825170401018,0.193688778007636,0.971138064770843,0.298220272641629,0.212844389003818,0.353863607606618,"positive"
0.520341882284265,0.43431623543147,0.189871765736025,0.965717907345155,0.297405976690352,0.210935882868012,0.350555530304555,"positive"
0.52270822932478,0.429583541350439,0.154376560128294,0.915314715382177,0.289833666160703,0.193188280064147,0.319793018777855,"positive"
0.520706669393694,0.433586661212612,0.18439995909459,0.957947941914317,0.296238657940179,0.208199979547295,0.345813297881978,"positive"
0.522766683811788,0.429466632376425,0.153499742823187,0.914069634808926,0.28964661180228,0.192749871411594,0.319033110446762,"positive"
0.520757940909825,0.433484118180349,0.183630886352621,0.956855858620722,0.296074589088559,0.207815443176311,0.345146768172272,"positive"
0.52002790791681,0.434944184166379,0.194581381247845,0.972405561371939,0.298410694666207,0.213290690623922,0.354637197081465,"positive"
0.523640571469441,0.427718857061118,0.140391427958384,0.895455827700905,0.286850171297789,0.186195713979192,0.307672570897266,"positive"
0.524219868504442,0.426560262991115,0.131701972433366,0.88311680085538,0.284996420785785,0.181850986216683,0.30014170944225,"positive"
0.504362083214801,0.408489666571841,0.136510333428159,0.707175282418262,0.268053458250361,0.133073133086786,0.256979333143681,"positive"
0.501374812965514,0.406099850372411,0.138900149627589,0.684113556093769,0.26596236907586,0.126859610968269,0.252199700744823,"positive"
0.509459632070502,0.412567705656402,0.132432294343598,0.746528359584278,0.271621742449352,0.143676034706645,0.265135411312804,"positive"
0.506643631024053,0.410314904819243,0.134685095180757,0.724788831505692,0.269650541716837,0.137818752530031,0.260629809638485,"positive"
0.50651395280147,0.410211162241176,0.134788837758824,0.723787715627346,0.269559766961029,0.137549021827057,0.260422324482352,"positive"
0.519585566146998,0.420668452917598,0.124331547082402,0.824700570654822,0.278709896302898,0.164737977585755,0.281336905835196,"positive"
0.51031986734597,0.413255893876776,0.131744106123224,0.753169375910889,0.272223907142179,0.145465324079618,0.266511787753552,"positive"
0.502434500132222,0.406947600105777,0.138052399894223,0.692294341020752,0.266704150092555,0.129063760275021,0.253895200211555,"positive"
0.512093553034356,0.414674842427485,0.130325157572515,0.766862229425227,0.273465487124049,0.14915459031146,0.269349684854969,"positive"
0.507435720035573,0.410948576028459,0.134051423971541,0.730903758674627,0.270205004024901,0.139466297673993,0.261897152056918,"positive"
0.517732205503853,0.419185764403082,0.125814235596918,0.810392626489746,0.277412543852697,0.160882987448014,0.278371528806165,"positive"
0.502525069750845,0.407020055800676,0.137979944199324,0.692993538476527,0.266767548825592,0.129252145081759,0.254040111601353,"positive"
0.517740630975459,0.419192504780367,0.125807495219633,0.810457671130542,0.277418441682821,0.160900512428954,0.278385009560734,"positive"
0.500898958870675,0.40571916709654,0.13928083290346,0.680439962481614,0.265629271209473,0.125869834451005,0.251438334193081,"positive"
0.516991257452173,0.418593005961739,0.126406994038261,0.804672507530777,0.276893880216521,0.15934181550052,0.277186011923477,"positive"
0.507861737319035,0.411289389855228,0.133710610144772,0.734192612102954,0.270503216123325,0.140352413623594,0.262578779710457,"positive"
0.513611127791228,0.415888902232982,0.129111097767018,0.778577906548278,0.274527789453859,0.152311145805754,0.271777804465964,"positive"
0.557151593433227,0.44253723278176,0.140460104912054,0.84896276721824,0.301498668846907,0.1540784590228,0.30753723278176,"positive"
0.538603893404361,0.432420305493288,0.128657023075502,0.859079694506712,0.290538664284395,0.16672461813339,0.297420305493288,"positive"
0.550742628821172,0.439041433902457,0.1363816728862,0.852458566097543,0.297711553394329,0.158448207621928,0.304041433902457,"positive"
0.544432007032447,0.435599276563153,0.132365822657011,0.855900723436847,0.293982549610082,0.162750904296059,0.300599276563153,"positive"
0.525135302823037,0.425073801539838,0.120086101796478,0.866426198460162,0.282579951668158,0.175907748075202,0.290073801539838,"positive"
0.541297568086302,0.433889582592528,0.130371179691283,0.857610417407472,0.292130381141906,0.16488802175934,0.298889582592528,"positive"
0.569080954613164,0.449044157061726,0.148051516572013,0.842455842938274,0.30854783681687,0.145944803672843,0.314044157061726,"positive"
0.568344374931185,0.448642386326101,0.147582784047117,0.842857613673899,0.308112585186609,0.146447017092374,0.313642386326101,"positive"
0.564124413810205,0.446340589351021,0.144897354242858,0.845159410648979,0.305618971796939,0.149324263311224,0.311340589351021,"positive"
0.561631342482287,0.444980732263066,0.14331085430691,0.846519267736934,0.304145793284988,0.151024084671168,0.309980732263066,"positive"
0.553010172974318,0.44027827616781,0.137824655529112,0.85122172383219,0.299051465848461,0.156902154790238,0.30527827616781,"positive"
0.543547799452208,0.435116981519386,0.131803145105951,0.856383018480614,0.293460063312668,0.163353773100767,0.300116981519386,"positive"
0.559342134682229,0.443732073463034,0.141854085706873,0.847767926536966,0.302793079584953,0.152584908171208,0.308732073463034,"positive"
0.57217044949648,0.450729336088989,0.150017558770487,0.840770663911011,0.310373447429738,0.143838329888764,0.315729336088989,"positive"
0.544548097114312,0.435662598425988,0.132439698163653,0.855837401574012,0.29405114829482,0.162671751967515,0.300662598425988,"positive"
0.559147433865583,0.44362587301759,0.141730185187189,0.847874126982409,0.30267802910239,0.152717658728012,0.30862587301759,"positive"
0.575295349551598,0.452433827028144,0.152006131532835,0.839066172971856,0.31221997928049,0.14170771621482,0.317433827028144,"positive"
0.550096866562963,0.459508191524073,0.154508191524073,0.923281660598703,0.349006696391851,0.200469444898888,0.280588675038889,"positive"
0.560438121762127,0.473727417422924,0.168727417422924,0.946678750486812,0.376411022669636,0.210552168718074,0.276710704339203,"positive"
0.560350709278136,0.473607225257438,0.168607225257438,0.946480979741784,0.376179379587062,0.210466941546183,0.276743484020699,"positive"
0.528319194689393,0.429563892697915,0.124563892697915,0.874009677984752,0.291295865926892,0.179236214822158,0.288755301991478,"positive"
0.527504290323704,0.428443399195094,0.123443399195094,0.872165956857381,0.289136369357817,0.178441683065612,0.289060891128611,"positive"
0.547537992978469,0.455989740345394,0.150989740345394,0.917492209113785,0.342225681392942,0.197974543154007,0.281548252633074,"positive"
0.563608807474375,0.478087110277265,0.173087110277265,0.953852426910773,0.384813339807093,0.213643587287515,0.27552169719711,"positive"
0.561941942786798,0.475795171331847,0.170795171331847,0.95008114555513,0.380396148385014,0.212018394217128,0.276146771454951,"positive"
0.529379464108497,0.431021763149183,0.126021763149183,0.876408537545474,0.294105579887517,0.180269977505784,0.288357700959314,"positive"
0.555214876737446,0.466545455513988,0.161545455513988,0.934861158618471,0.362569423354231,0.205459504819009,0.278669421223458,"positive"
0.544457834064961,0.451754521839321,0.146754521839321,0.910523349571973,0.334063260272145,0.194971388213336,0.28270331222564,"positive"
0.554871643772349,0.46607351018698,0.16107351018698,0.934084594034939,0.361659855996724,0.20512485267804,0.278798133585369,"positive"
0.53641332753934,0.440693325366592,0.135693325366592,0.892322653557756,0.31274531797925,0.187127994350856,0.285720002172748,"positive"
0.556383555792272,0.468152389214374,0.163152389214374,0.937505294980016,0.365666422849521,0.206598966897465,0.278231166577898,"positive"
0.549525623666123,0.458722732540918,0.153722732540919,0.921989223544602,0.347492902715225,0.199912483074469,0.280802891125204,"positive"
0.533338346360251,0.436465226245346,0.131465226245346,0.885365508640069,0.304596617854666,0.184129887701245,0.286873120114906,"positive"
0.553857934297994,0.464679659659741,0.159679659659741,0.931791076349211,0.358973525889684,0.204136485940544,0.279178274638252,"positive"
0.563599025920266,0.446443903289037,0.167176587235881,0.942840295708971,0.366131222827244,0.167851316750166,0.294288780657807,"positive"
0.566739303795621,0.448188502108678,0.171014704639092,0.949051067506894,0.372935158223845,0.167188369198702,0.294637700421736,"positive"
0.5313419747015,0.428523319278611,0.127751302412944,0.879043016631855,0.296240945186582,0.174661138674128,0.290704663855722,"positive"
0.534290105252294,0.430161169584608,0.131354573086137,0.884873763721204,0.30262856137997,0.174038755557849,0.291032233916922,"positive"
0.535495639537694,0.430830910854274,0.132828003879404,0.887258042641217,0.30524055233167,0.173784253875376,0.291166182170855,"positive"
0.567087876156438,0.448382153420243,0.171440737524535,0.949740466176067,0.373690398338949,0.167114781700308,0.294676430684049,"positive"
0.538741043818882,0.432633913232712,0.136794609111967,0.893676731108455,0.312272261607577,0.173099112971569,0.291526782646542,"positive"
0.538449599178275,0.432471999543486,0.13643839899567,0.893100318374811,0.311640798219596,0.173160640173475,0.291494399908697,"positive"
0.542725635473616,0.43484757526312,0.141664665578865,0.901557367936708,0.320905543526169,0.172257921400014,0.291969515052624,"positive"
0.567201553863706,0.448445307702059,0.17157967694453,0.94996529541933,0.37393670003803,0.167090783073218,0.294689061540412,"positive"
0.546972989336355,0.437207216297975,0.146855875855545,0.90995769002079,0.330108143562102,0.17136125780677,0.292441443259595,"positive"
0.533971058103489,0.429983921168605,0.130964626570931,0.884242759360233,0.301937292557559,0.17410610995593,0.290996784233721,"positive"
0.548160402072826,0.437866890040459,0.14830715808901,0.912306128544034,0.332680871157791,0.171110581784626,0.292573378008092,"positive"
0.563025017810287,0.446125009894604,0.166475021768129,0.94170503522479,0.364887538588955,0.167972496240051,0.294225001978921,"positive"
0.568793809369672,0.449329894094262,0.173525767007377,0.953114422975574,0.377386586967623,0.16675464024418,0.294865978818852,"positive"
0.56363490722375,0.446463837346528,0.167220442162361,0.942911260953639,0.366208965651458,0.167843741808319,0.294292767469306,"positive"
0.528138282552827,0.426743490307126,0.123835678675678,0.872706825493369,0.289299612197792,0.175337473683292,0.290348698061425,"positive"
0.543343112380244,0.411242665714817,0.142928890475305,0.872461511523579,0.301760267999256,0.194343112380244,0.308343112380244,"positive"
0.542910972209647,0.411566770842764,0.142388715262059,0.872321065968135,0.30130652082013,0.193910972209647,0.307910972209647,"positive"
0.537091359314509,0.415931480514118,0.135114199143136,0.870429691777215,0.295195927280234,0.188091359314509,0.302091359314509,"positive"
0.529370218068361,0.421722336448729,0.125462772585452,0.867920320872217,0.287088728971779,0.180370218068361,0.294370218068361,"positive"
0.538206856125034,0.415094857906224,0.136508570156293,0.870792228240636,0.296367198931286,0.189206856125034,0.303206856125034,"positive"
0.539949396634474,0.413787952524144,0.138686745793093,0.871358553906204,0.298196866466198,0.190949396634474,0.304949396634474,"positive"
0.531312325079925,0.420265756190056,0.127890406349907,0.868551505650976,0.289127941333922,0.182312325079925,0.296312325079925,"positive"
0.539866473940201,0.413850144544849,0.138583092425251,0.871331604030565,0.298109797637211,0.190866473940201,0.304866473940201,"positive"
0.541996940136887,0.412252294897335,0.141246175171109,0.872024005544488,0.300346787143731,0.192996940136887,0.306996940136887,"positive"
0.535648936922662,0.417013297308004,0.133311171153327,0.869960904499865,0.293681383768795,0.186648936922662,0.300648936922662,"positive"
0.538380294167437,0.414964779374422,0.136725367709296,0.870848595604417,0.296549308875808,0.189380294167437,0.303380294167437,"positive"
0.535647149709985,0.417014637717511,0.133308937137481,0.869960323655745,0.293679507195484,0.186647149709985,0.300647149709985,"positive"
0.528107253289782,0.422669560032664,0.123884066612227,0.867509857319179,0.285762615954271,0.179107253289781,0.293107253289781,"positive"
0.541078900261782,0.412940824803663,0.140098625327228,0.871725642585079,0.299382845274871,0.192078900261782,0.306078900261782,"positive"
0.534002009690739,0.418248492731946,0.131252512113424,0.86942565314949,0.291952110175276,0.185002009690739,0.299002009690739,"positive"
0.529068749467842,0.421948437899118,0.125085936834803,0.867822343577049,0.286772186941234,0.180068749467842,0.294068749467842,"positive"
0.540418369295076,0.413436223028693,0.139272961618844,0.8715109700209,0.298689287759829,0.191418369295076,0.305418369295076,"positive"
0.499069241916295,0.407712827944197,0.137287172055803,0.759895772322547,0.243315743340179,0.155543513067299,0.266662317724666,"positive"
0.484711060200352,0.380866819398943,0.140577879599296,0.673491197659401,0.217326636120211,0.13060677357926,0.198149443816161,"positive"
0.482765854384052,0.386702436847845,0.144468291231897,0.676798047547112,0.216159512630431,0.134691705793492,0.219352187213837,"positive"
0.490447624423541,0.401965082949027,0.143034917050973,0.724451344852336,0.230287521351129,0.148742014823016,0.258902861981187,"positive"
0.483958101875614,0.397638734583743,0.147361265416257,0.697772196599748,0.220481131723151,0.143622502590762,0.253062291688053,"positive"
0.499414859750541,0.407943239833694,0.137056760166306,0.761316645641113,0.243838010289706,0.155816167136538,0.266973373775487,"positive"
0.497371919327416,0.40658127955161,0.13841872044839,0.752917890568264,0.240750900316983,0.154204514136072,0.265134727394674,"positive"
0.484336220113328,0.381991339660017,0.141327559773345,0.674128425807343,0.217101732067997,0.131393937762012,0.202235200764728,"positive"
0.484492525735404,0.397995017156936,0.147004982843064,0.699969272467773,0.221288705555722,0.144044103635708,0.253543273161864,"positive"
0.50134270161856,0.409228467745706,0.135771532254294,0.76924221776519,0.246751193556935,0.157337020165753,0.268708431456704,"positive"
0.480034331392962,0.394897005821113,0.149931337214075,0.681441636631964,0.214520598835777,0.140427904074779,0.249125787816709,"positive"
0.481709027099423,0.396139351399615,0.148860648600385,0.688526000297628,0.217082529839128,0.141848232489545,0.251038124389481,"positive"
0.480885868447367,0.392342394657899,0.148228263105266,0.679994023639476,0.21503152106842,0.138639676260529,0.239844033923699,"positive"
0.521010107053444,0.422340071368963,0.122659928631037,0.850097106775269,0.276470828436315,0.172852417786606,0.286409096348099,"positive"
0.480138119616313,0.394585641151061,0.149723760767374,0.681265196652268,0.214582871769788,0.140209948805743,0.247994496182189,"positive"
0.499786183886463,0.408190789257642,0.136809210742358,0.762843200422125,0.244399122317322,0.156109100621543,0.267307565497817,"positive"
0.484313064047601,0.382060807857197,0.141373871904798,0.674167791119078,0.217087838428561,0.131442565500038,0.202487601881148,"positive"
0.554538094513118,0.447153570884839,0.142153570884839,0.832531191309914,0.343422319933306,0.163446309831925,0.267846429115161,"positive"
0.527328663319349,0.426746497489512,0.121746497489512,0.863822037182748,0.287302868096158,0.175010318089277,0.288253502510488,"positive"
0.526352904858068,0.426014678643551,0.121014678643551,0.864944159413222,0.285290366269764,0.175425015435321,0.288985321356449,"positive"
0.532098458558321,0.430323843918741,0.125323843918741,0.858336772657931,0.297140570776537,0.172983155112714,0.284676156081259,"positive"
0.549234224017709,0.443175668013282,0.138175668013282,0.838630642379634,0.332483087036526,0.165700454792473,0.271824331986718,"positive"
0.535467527266592,0.432850645449944,0.127850645449944,0.854462343643419,0.304089274987346,0.171551300911698,0.282149354550056,"positive"
0.541793197868392,0.437594898401294,0.132594898401294,0.847187822451349,0.317135970603558,0.168862890905933,0.277405101598706,"positive"
0.561098400494084,0.452073800370563,0.147073800370563,0.824986839431804,0.356952951019048,0.160658179790014,0.262926199629437,"positive"
0.555419396283105,0.447814547212329,0.142814547212329,0.831517694274429,0.345240004833904,0.16307175657968,0.267185452787671,"positive"
0.526762220235542,0.426321665176656,0.121321665176656,0.864473446729127,0.286134579235804,0.175251056399895,0.288678334823344,"positive"
0.53687715312466,0.433907864843495,0.128907864843495,0.852841273906641,0.306996628319612,0.170952209922019,0.281092135156505,"positive"
0.544492562254891,0.439619421691168,0.134619421691168,0.844083553406876,0.322703409650712,0.167715661041671,0.275380578308832,"positive"
0.53107374436222,0.429555308271665,0.124555308271665,0.859515193983447,0.295027097747079,0.173418658646056,0.285444691728335,"positive"
0.526798466453329,0.426348849839997,0.121348849839997,0.864431763578672,0.28620933705999,0.175235651757335,0.288651150160003,"positive"
0.527749438313767,0.427062078735325,0.122062078735325,0.863338145939168,0.288170716522145,0.174831488716649,0.287937921264674,"positive"
0.548718940159306,0.442789205119479,0.137789205119479,0.839223218816798,0.331420314078568,0.165919450432295,0.272210794880521,"positive"
0.557171003576368,0.449128252682276,0.144128252682276,0.829503345887177,0.348852694876259,0.162327323480044,0.265871747317724,"positive"
0.519179149173433,0.421119432782289,0.123880567217711,0.84256983549078,0.273704047639854,0.171407995459042,0.28476123425609,"positive"
0.448766851527616,0.335795995086664,0.127970856440952,0.436575237278943,0.161627874343423,0.084128964900854,0.14485428220476,"positive"
0.514409809671342,0.417939873114228,0.127060126885772,0.822962550871074,0.266497045725584,0.167645516518503,0.280468828704208,"positive"
0.516734391900245,0.419489594600163,0.125510405399837,0.832519166701008,0.27000974776037,0.169479353610193,0.282560952710221,"positive"
0.521380930370651,0.422587286913767,0.122412713086233,0.851621602634899,0.277031183671206,0.173144956181291,0.286742837333586,"positive"
0.431334583805874,0.32054276083014,0.125791822975734,0.374908590213279,0.126327532206895,0.0638639536743285,0.133959114878671,"positive"
0.4835115505883,0.397341033725534,0.147658966274466,0.695936374640791,0.21980634311121,0.143270223241881,0.25266039552947,"positive"
0.470855897743022,0.367567693229066,0.137807863657363,0.567198721787776,0.202307863657363,0.117639744357555,0.191892155781039,"positive"
0.463166325408965,0.348395534732845,0.129770790676121,0.487513376134215,0.190786808953155,0.100868353287922,0.153853953380603,"positive"
0.454322960497811,0.340657590435585,0.128665370062226,0.456229972761008,0.172878995008068,0.0905879415787058,0.148326850311132,"positive"
0.467952977676177,0.358858933028532,0.133937303568237,0.530912220952217,0.198437303568237,0.110382444190443,0.173603759359918,"positive"
0.47933407260105,0.39300221780315,0.1491120968014,0.673175907513127,0.2136120968014,0.138835181502625,0.245304657386616,"positive"
0.474255275835749,0.377765827507246,0.142340367780998,0.60969094794686,0.206840367780998,0.126138189589372,0.213308237765217,"positive"
0.467811953880591,0.358435861641774,0.133749271840788,0.529149423507391,0.198249271840788,0.110029884701478,0.172715309447725,"positive"
0.495650298376568,0.405433532251045,0.139566467748955,0.745840115548111,0.238149339769036,0.15284634649707,0.263585268538911,"positive"
0.444846340967342,0.332365548346424,0.127480792620918,0.422706431171973,0.153688840458868,0.0795713713745354,0.142403963104589,"positive"
0.472180892979959,0.371542678939877,0.139574523973279,0.583761162249488,0.204074523973279,0.120952232449898,0.200239625773742,"positive"
0.554701033025049,0.422934710700065,0.153084194187541,0.929427675429033,0.32742921479512,0.187754121928709,0.334252582562622,"positive"
0.546132174276281,0.411509565701708,0.145943478563568,0.879585480373702,0.30629269654816,0.195037651865161,0.312830435690703,"positive"
0.539598514079116,0.414051114440663,0.138248142598895,0.871244517075713,0.297828439783072,0.190598514079116,0.304598514079116,"positive"
0.563859834664036,0.435146446218714,0.160716528886696,0.98270137162914,0.350020925504621,0.17996914053557,0.357149586660089,"positive"
0.544229213707149,0.410578089719638,0.144036517133936,0.872749494454823,0.302690674392506,0.195229213707149,0.309229213707149,"positive"
0.571946765070315,0.445929020093754,0.167455637558596,1.029740350159,0.369968687173445,0.173095249690232,0.377366912675789,"positive"
0.555630591514055,0.42417412201874,0.153858826261712,0.934834607306751,0.329722125734668,0.186963997213054,0.336576478785137,"positive"
0.545988894142211,0.411318525522947,0.145824078451842,0.878752067593858,0.305939272217453,0.195159439979121,0.312472235355526,"positive"
0.552095738875214,0.419460985166952,0.150913115729345,0.914273547790828,0.321002822558861,0.189968621956068,0.327739347188035,"positive"
0.538971459669992,0.414521405247506,0.13746432458749,0.871040724392747,0.297170032653492,0.189971459669992,0.303971459669992,"positive"
0.53692740382161,0.416054447133793,0.134909254777012,0.870376406242023,0.29502377401269,0.18792740382161,0.30192740382161,"positive"
0.530785015933216,0.420661238050088,0.12723126991652,0.868380130178295,0.288574266729876,0.181785015933216,0.295785015933216,"positive"
0.56700598489726,0.439341313196346,0.163338320747716,1.00100147881906,0.35778142941324,0.177294912837329,0.365014962243149,"positive"
0.533350738044828,0.418736946466379,0.130438422556035,0.869213989864569,0.29126827494707,0.184350738044828,0.298350738044828,"positive"
0.533622142709792,0.418533392967656,0.13077767838724,0.869302196380682,0.291553249845281,0.184622142709792,0.298622142709792,"positive"
0.543497443273664,0.411126917544752,0.143121804092079,0.872511669063941,0.301922315437347,0.194497443273664,0.308497443273664,"positive"
0.537572921994142,0.415570308504393,0.135716152492678,0.870586199648096,0.295701568093849,0.188572921994142,0.302572921994142,"positive"
0.48277887168806,0.386663384935819,0.144442256623879,0.676775918130297,0.216167323012836,0.134664369455073,0.219210298600141,"positive"
0.487548817980569,0.377451182019431,0.136176773029147,0.623170608479879,0.209216341563151,0.114834533015615,0.188373073250521,"positive"
