"RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Class"
1.51777898,13.6427,3.65037,0.64952,73.002,0.0621,8.927,0,0,"positive"
1.52126432,14.321,3.90181,0.82928,71.5012,0,9.48652,0,0,"positive"
1.52210718,14.188,3.78058,0.90953,71.3612,0.22977,9.1422,0,0.1887,"positive"
1.51609326,13.33015,3.52914,1.33967,72.6716,0.5589,8.3352,0,0,"positive"
1.51670832,13.23705,3.56955,1.3814,72.6996,0.5589,8.4428,0,0.051,"positive"
1.51645774,13.03755,3.39893,1.25942,73.0076,0.52164,8.58268,0,0,"positive"
1.51654886,13.40995,3.38995,1.27868,72.638,0.52164,8.64724,0,0,"positive"
1.51796122,13.50305,3.35852,1.62857,71.938,0.57132,8.80864,0,0.459,"positive"
1.5177562,13.52965,3.40791,1.51943,72.0388,0.57753,8.78712,0,0,"positive"
1.52121876,14.0284,3.75813,0.5789,71.7924,0.11178,9.64792,0,0,"positive"
1.51693612,12.858,3.57853,1.31078,72.61,0.60858,8.78712,0,0,"positive"
1.5193508,13.6427,3.53812,0.74903,72.6492,0.16146,8.89472,0.1512,0.1224,"positive"
1.51609326,13.42325,3.39893,1.2209,72.6884,0.58995,8.32444,0,0,"positive"
1.51656121140304,13.4122869988757,3.39256482812975,1.27236272303927,72.6416548553845,0.517025845485195,8.65004901742408,0,0,"positive"
1.51766919005784,13.6219267347599,3.62712714829723,0.705673415933168,72.9695124874441,0.103114592087748,8.90203102606418,0,0,"positive"
1.51692047882321,13.480263693869,3.46862279122389,1.08861098330994,72.7479642731184,0.382813126184517,8.73175539848244,0,0,"positive"
1.51677852958496,13.4534055944943,3.4385717225272,1.16121266667225,72.7059606289836,0.435841572958496,8.69947259770451,0,0,"positive"
1.51676879052904,13.4515628756819,3.43650993591871,1.16619382657778,72.7030787830213,0.439479824314252,8.69725769323638,0,0,"positive"
1.51676590216724,13.4510163711065,3.43589846128277,1.16767111473516,72.7022240991741,0.440558839190975,8.69660080765098,0,0,"positive"
1.51663208930707,13.4256977491797,3.40756988761066,1.23611134748051,72.6626280588675,0.490547752274768,8.66616842238676,0,0,"positive"
1.51766052629967,13.6202874721565,3.62529300536626,0.710104601581153,72.9669488286357,0.106351140903113,8.90006067115147,0,0,"positive"
1.51677412792346,13.4525727597183,3.43763987791986,1.16346395057192,72.7046581505369,0.437485916214986,8.6984715499841,0,0,"positive"
1.51609435899608,13.3303424931678,3.52880424656617,1.33952288022179,72.6715189502452,0.558810121611147,8.3359527013542,0,0,"positive"
1.51625009283822,13.3576198430417,3.48122612214324,1.31867519138959,72.6600337502983,0.546073855241449,8.44261465943259,0,0,"positive"
1.51633386969124,13.3722936640927,3.4556315212398,1.30746019958629,72.6538552993294,0.539222394434907,8.49999334515651,0,0,"positive"
1.51645026569898,13.392680848944,3.4200714678633,1.29187856544998,72.6452712214973,0.529703265267522,8.57971285845202,0,0,"positive"
1.51643370099991,13.3897794815463,3.42513213613497,1.2940960391039,72.6464928498752,0.531057963879509,8.56836771205148,0,0,"positive"
1.51645214738427,13.3930104329783,3.41949659566095,1.29162666908083,72.6451324492723,0.529549376782291,8.58100162288927,0,0,"positive"
1.51645720476226,13.3938962511603,3.41795152006267,1.29094965089893,72.6447594731957,0.529135772954486,8.58446541619115,0,0,"positive"
1.51630140332141,13.3666070611244,3.46555029651755,1.31180638899781,72.656249658474,0.541877567700581,8.47775715981511,0,0,"positive"
