"Height","Lenght","Area","Eccen","P_black","P_and","Mean_tr","Blackpix","Blackand","Wb_trans","Class"
7,2,14,0.286,0.643,0.714,9,9,10,1,"positive"
20,39,780,1.95,0.14,0.405,3.21,109,316,34,"positive"
10,1,10,0.1,1,1,10,10,10,1,"positive"
11,1,11,0.091,1,1,11,11,11,1,"positive"
48,402,19296,8.375,0.055,0.094,4.13,1058,1814,256,"positive"
30,60,1800,2,0.154,0.457,1.85,278,823,150,"positive"
25,169,4225,6.76,0.215,0.947,1.57,907,4000,579,"positive"
1,44,44,44,0.25,1,2.2,11,44,5,"positive"
17,9,153,0.529,0.209,0.497,1.88,32,76,17,"positive"
5,128,640,25.6,0.759,0.764,162,486,489,3,"positive"
29,61,1769,2.103,0.121,0.431,1.78,214,762,120,"positive"
19,2,38,0.105,0.816,0.816,31,31,31,1,"positive"
1,46,46,46,0.783,1,12,36,46,3,"positive"
1,28,28,28,0.464,1,2.17,13,28,6,"positive"
197,198,39006,1.005,0.273,0.332,46.93,10654,12964,227,"positive"
84,1,84,0.012,1,1,84,84,84,1,"positive"
1,8,8,8,1,1,8,8,8,1,"positive"
24,510,12240,21.25,0.846,0.927,38.65,10359,11341,268,"positive"
4,11,44,2.75,0.159,0.932,1.75,7,41,4,"positive"
8,1,8,0.125,0.875,1,7,7,8,1,"positive"
1,20,20,20,0.85,1,8.5,17,20,2,"positive"
1,22,22,22,0.955,1,21,21,22,1,"positive"
1,19,19,19,0.789,1,3.75,15,19,4,"positive"
1,106,106,106,0.434,1,1.02,46,106,45,"positive"
105,2,210,0.019,0.529,0.533,111,111,112,1,"positive"
1,11,11,11,0.909,1,10,10,11,1,"positive"
7,1,7,0.143,1,1,7,7,7,1,"positive"
85,69,5865,0.812,0.165,0.441,1.44,969,2588,674,"positive"
4,115,460,28.75,0.426,0.487,17.82,196,224,11,"positive"
1,283,283,283,0.993,1,140.5,281,283,2,"positive"
6,5,30,0.833,0.367,1,2.2,11,30,5,"positive"
1,161,161,161,0.41,1,1.02,66,161,65,"positive"
29,32,928,1.103,0.432,0.689,6.27,401,639,64,"positive"
2,22,44,11,0.477,1,21,21,44,1,"positive"
93,4,372,0.043,0.419,0.565,2.89,156,210,54,"positive"
1,45,45,45,0.756,1,5.67,34,45,6,"positive"
1,17,17,17,0.765,1,6.5,13,17,2,"positive"
37,1,37,0.027,1,1,37,37,37,1,"positive"
1,75,75,75,0.813,1,5.55,61,75,11,"positive"
1,278,278,278,0.946,1,29.22,263,278,9,"positive"
3,54,162,18,0.364,0.519,8.43,59,84,7,"positive"
6.30961452145129,10.9750112211332,39.5442627063021,3.34337209175294,0.594845612871228,0.680343707920751,8.90162006930681,17.6298184818588,22.7721313531511,2.03557821782306,"positive"
6.71263233758509,5.73577961139381,24.6326035093516,1.55860769300442,0.62295610554656,0.699990826457273,8.95905010810588,12.5920957801864,15.3163017546758,1.43105149362236,"positive"
5.49616393540055,21.5498688397929,69.6419343901798,6.94573801207869,0.538107434494188,0.640687991850777,8.78570336079458,27.7979508074932,37.8209671950899,3.25575409689918,"positive"
5.56777296774089,20.6189514193684,66.9924001935869,6.62861741235946,0.543102164499927,0.644178932177369,8.79590764790308,26.9028379032388,36.4962000967935,3.14834054838866,"positive"
4.71301199682057,31.7308440413326,98.6185561176389,10.4139263720801,0.483482586778235,0.602509334845003,8.67410420954693,37.5873500397429,52.3092780588195,4.43048200476915,"positive"
6.4161140685901,9.59051710832864,35.6037794621661,2.87173884724872,0.60227395628416,0.685535560843768,8.91679625477409,16.2985741426237,20.8018897310831,1.87582889711484,"positive"
5.2187712425366,25.1559738470241,79.9054640261456,8.17417155242665,0.518759294166928,0.627165098073659,8.74617490206147,31.2653594682924,42.9527320130728,3.67184313619509,"positive"
3.72542459145188,44.5694803111255,135.15929011628,14.7874571967553,0.414598365253769,0.554364448833279,8.53337300428189,49.9321926068515,70.5796450581402,5.91186311282218,"positive"
5.66401527822018,19.3678013831377,63.4314347058535,6.20240834040195,0.549815065655857,0.648870744813234,8.80962217714637,25.6998090222478,34.7157173529267,3.00397708266973,"positive"
5.11549134552479,26.4986125081778,83.7268202155828,8.63154657634348,0.511555521350354,0.622130203094333,8.73145751673728,32.5563581809402,44.8634101077914,3.82676298171282,"positive"
6.69636305980384,5.94728022255003,25.2345667872578,1.63065618965868,0.621821323421318,0.699197699165437,8.95673173602205,12.795461752452,15.6172833936289,1.45545541029423,"positive"
17.1583931222558,52.4976326692849,723.167862445116,6.70969152022153,0.190793722939678,0.419563235248439,5.80474228024017,124.451237397734,299.660760452971,29.9151901132427,"positive"
3.47697422024794,83.0954274351243,304.138317633886,23.1274728676653,0.393572401655372,0.503736824952066,12.9087879281281,124.345468173968,150.776390834711,8.90789688099176,"positive"
4.06795946136117,114.677192558534,461.359189227223,28.63616790222,0.424785224628169,0.486651707760524,17.7579445168446,195.630470428849,224.390766902827,11.0976917257067,"positive"
16.6217800043523,55.0465449793264,712.435600087047,7.60851849270984,0.200385682422202,0.422313377477694,6.29473713352578,127.369071226334,296.575235025026,29.1438087562565,"positive"
3.22851127153262,67.9391875634901,230.096358916722,20.4564961689757,0.378167698835023,0.511687639310956,10.5757208396913,90.3060441999696,115.991578014567,7.9140450861305,"positive"
3.38341026566923,77.3880262058228,276.25625916943,22.1216603559442,0.387771436471492,0.506730871498585,12.030222394634,111.527206396684,137.677437193692,8.53364106267691,"positive"
3.7853932431899,101.908987834584,396.047186470591,26.4429773642914,0.412694381077774,0.493867416217923,15.8048425535532,166.598874317016,193.955054046586,10.1415729727596,"positive"
15.0521849505603,62.5021214848384,681.043699011207,10.2375902078114,0.228442194008734,0.430357552128378,7.7279736170196,135.903744331328,287.550063465722,26.8875158664305,"positive"
3.86524141929112,106.779726576759,419.841942948755,27.3013452573796,0.41764496799605,0.491312274582684,16.5546169271437,177.538074442884,205.133798700757,10.4609656771645,"positive"
5.46777070313692,108.0280891601,489.355414062738,26.2914840722457,0.399763598681428,0.479477675146423,16.4797418766981,188.018996801693,232.439681543037,13.1099203857593,"positive"
9.7893946878612,87.5003752326593,575.787893757224,19.0527638978325,0.322514569954481,0.457329352224711,12.5335589756467,164.520166384755,257.289019455202,19.3222548638005,"positive"
7.93543164874427,16.6317318023648,54.8306270558387,5.3793962124968,0.812419218371622,0.858134660435142,9.53694681264693,24.4519784587901,31.825436856132,2.76963001536205,"positive"
4.26187962060794,44.4457685868256,134.599185381085,14.7731935415883,0.478650776958093,0.605709156787489,8.71302157205064,50.1668426557444,70.6601297250018,5.91838889662176,"positive"
