"Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight","Class"
0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,"negative"
0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,"negative"
0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,"negative"
0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,"positive"
0.5,0.385,0.12,0.6335,0.2305,0.125,0.235,"negative"
0.625,0.465,0.155,0.972,0.404,0.1845,0.35,"negative"
0.475,0.365,0.14,0.4545,0.171,0.118,0.158,"negative"
0.655,0.53,0.19,1.428,0.493,0.318,0.565,"negative"
0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,"negative"
0.595,0.48,0.165,1.262,0.4835,0.283,0.41,"negative"
0.69,0.55,0.2,1.8465,0.732,0.472,0.57,"positive"
0.565,0.44,0.175,1.122,0.393,0.2,0.375,"negative"
0.605,0.495,0.17,1.0915,0.4365,0.2715,0.335,"negative"
0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,"positive"
0.455,0.345,0.125,0.44,0.169,0.1065,0.135,"negative"
0.395,0.28,0.08,0.266,0.0995,0.066,0.09,"negative"
0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,"negative"
0.655,0.51,0.15,1.043,0.4795,0.223,0.305,"negative"
0.525,0.41,0.115,0.7745,0.416,0.163,0.18,"negative"
0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,"negative"
0.72,0.565,0.18,1.719,0.8465,0.407,0.3875,"negative"
0.68,0.52,0.175,1.543,0.7525,0.351,0.374,"negative"
0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,"negative"
0.47,0.375,0.105,0.468,0.1665,0.108,0.17,"negative"
0.59,0.465,0.155,1.136,0.5245,0.2615,0.275,"negative"
0.7,0.55,0.17,1.684,0.7535,0.3265,0.32,"negative"
0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,"negative"
0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,"negative"
0.36,0.265,0.085,0.1865,0.0675,0.037,0.0615,"negative"
0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,"negative"
0.765,0.585,0.18,2.398,1.128,0.512,0.5335,"negative"
0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,"negative"
0.44,0.325,0.115,0.39,0.163,0.087,0.113,"negative"
0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,"negative"
0.345,0.255,0.1,0.197,0.071,0.051,0.06,"negative"
0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,"negative"
0.62,0.51,0.18,1.233,0.592,0.274,0.322,"negative"
0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,"negative"
0.715,0.55,0.175,1.825,0.938,0.3805,0.44,"negative"
0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,"negative"
0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,"negative"
