"Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight","Class"
0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,"positive"
0.565,0.44,0.15,0.983,0.4475,0.2355,0.2485,"negative"
0.575,0.465,0.12,1.0535,0.516,0.2185,0.235,"negative"
0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,"negative"
0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,"negative"
0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,"negative"
0.55,0.415,0.18,1.1655,0.502,0.301,0.311,"negative"
0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,"negative"
0.645,0.51,0.16,1.33,0.6665,0.309,0.317,"negative"
0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,"negative"
0.45,0.32,0.1,0.381,0.1705,0.075,0.115,"negative"
0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,"negative"
0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,"negative"
0.635,0.495,0.175,1.211,0.707,0.2725,0.323,"negative"
0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,"negative"
0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,"negative"
0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,"negative"
0.535,0.435,0.15,0.725,0.269,0.1385,0.25,"negative"
0.595,0.48,0.14,0.9125,0.4095,0.1825,0.289,"negative"
0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,"negative"
0.575,0.445,0.16,0.9175,0.45,0.1935,0.24,"negative"
0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,"negative"
0.61,0.45,0.16,1.136,0.414,0.311,0.3,"negative"
0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,"negative"
0.575,0.45,0.145,0.872,0.4675,0.18,0.217,"negative"
0.635,0.51,0.155,1.156,0.428,0.289,0.315,"positive"
0.57,0.44,0.19,1.018,0.447,0.207,0.265,"negative"
0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,"negative"
0.625,0.495,0.155,1.177,0.5055,0.278,0.345,"negative"
0.485,0.345,0.16,0.869,0.3085,0.185,0.319,"negative"
0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,"negative"
0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,"negative"
0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,"negative"
0.505,0.385,0.125,0.596,0.245,0.097,0.21,"negative"
0.57,0.43,0.16,0.811,0.3875,0.159,0.2285,"negative"
0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,"negative"
0.58,0.42,0.14,0.701,0.3285,0.102,0.2255,"negative"
0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,"negative"
0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,"positive"
0.62,0.49,0.15,1.195,0.4605,0.302,0.355,"negative"
0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,"negative"
0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,"negative"
0.64,0.49,0.155,1.1285,0.477,0.269,0.34,"negative"
0.355,0.29,0.09,0.3275,0.134,0.086,0.09,"negative"
0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,"positive"
0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,"negative"
0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,"negative"
0.4,0.3,0.125,0.417,0.191,0.09,0.1175,"negative"
0.605,0.475,0.16,1.616,0.5495,0.332,0.34,"positive"
0.69,0.54,0.155,1.454,0.624,0.3105,0.39,"negative"
0.51,0.38,0.135,0.681,0.3435,0.142,0.17,"negative"
0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,"negative"
0.6,0.485,0.165,1.1405,0.587,0.2175,0.288,"negative"
0.525,0.415,0.12,0.596,0.2805,0.12,0.1695,"negative"
0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,"negative"
0.59,0.47,0.18,1.187,0.5985,0.227,0.31,"negative"
0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,"negative"
0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,"negative"
0.565,0.455,0.15,0.8205,0.365,0.159,0.26,"positive"
0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,"negative"
0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,"negative"
0.585,0.45,0.135,0.855,0.3795,0.187,0.26,"negative"
0.56,0.45,0.145,0.894,0.3885,0.2095,0.264,"negative"
0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,"negative"
0.62,0.51,0.175,1.2705,0.5415,0.323,0.3225,"negative"
0.515,0.4,0.14,0.6335,0.288,0.145,0.168,"negative"
0.44,0.375,0.13,0.487,0.226,0.0965,0.155,"negative"
0.625,0.49,0.165,1.127,0.477,0.2365,0.3185,"negative"
0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,"negative"
0.575,0.435,0.155,0.8975,0.4115,0.2325,0.23,"negative"
0.66,0.505,0.19,1.4045,0.6255,0.3375,0.3745,"negative"
0.605,0.47,0.145,0.8025,0.379,0.2265,0.22,"negative"
0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,"negative"
0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,"positive"
0.505,0.39,0.12,0.653,0.3315,0.1385,0.167,"negative"
0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,"negative"
0.455,0.35,0.105,0.401,0.1575,0.083,0.135,"negative"
0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,"negative"
0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,"negative"
0.56,0.425,0.125,0.932,0.361,0.213,0.335,"negative"
0.65,0.525,0.18,1.626,0.597,0.3445,0.53,"positive"
0.28,0.205,0.08,0.127,0.052,0.039,0.042,"negative"
0.645,0.485,0.155,1.489,0.5915,0.312,0.38,"positive"
0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,"negative"
0.58,0.425,0.15,0.844,0.3645,0.185,0.2705,"negative"
0.55,0.415,0.135,0.7635,0.318,0.21,0.2,"negative"
0.57,0.45,0.15,0.9645,0.531,0.189,0.209,"negative"
0.59,0.5,0.15,1.142,0.485,0.265,0.345,"negative"
0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,"negative"
0.53,0.41,0.145,0.8255,0.375,0.204,0.245,"negative"
0.65,0.515,0.125,1.1805,0.5235,0.283,0.3275,"negative"
0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,"negative"
0.425,0.305,0.11,0.359,0.173,0.0875,0.0975,"negative"
0.63,0.455,0.15,1.1315,0.481,0.2745,0.305,"negative"
0.48,0.375,0.145,0.777,0.216,0.13,0.17,"negative"
0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,"negative"
0.54,0.42,0.14,0.8035,0.38,0.1805,0.21,"negative"
0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,"negative"
0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,"negative"
0.66,0.515,0.195,1.5655,0.7345,0.353,0.386,"negative"
0.49,0.4,0.115,0.569,0.256,0.1325,0.145,"negative"
0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,"negative"
0.65,0.5,0.185,1.4415,0.741,0.2955,0.341,"negative"
0.595,0.465,0.15,0.919,0.4335,0.1765,0.262,"negative"
0.595,0.475,0.14,0.944,0.3625,0.189,0.315,"negative"
0.575,0.475,0.16,0.895,0.3605,0.221,0.271,"negative"
0.61,0.47,0.165,1.052,0.498,0.242,0.267,"negative"
0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235,"negative"
0.545,0.41,0.145,0.873,0.3035,0.196,0.31,"positive"
0.35,0.265,0.11,0.209,0.066,0.059,0.075,"negative"
0.58,0.45,0.155,0.93,0.385,0.246,0.265,"negative"
0.69,0.55,0.18,1.659,0.8715,0.2655,0.4395,"negative"
0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,"negative"
0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,"negative"
0.545,0.415,0.14,0.82,0.4615,0.127,0.218,"negative"
0.535,0.42,0.145,0.6885,0.273,0.1515,0.237,"negative"
0.345,0.255,0.1,0.197,0.071,0.051,0.06,"negative"
0.65,0.5,0.16,1.3825,0.702,0.304,0.3195,"negative"
0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,"negative"
0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,"negative"
0.5,0.39,0.13,0.5075,0.2115,0.104,0.1755,"negative"
0.67,0.485,0.175,1.2565,0.5355,0.322,0.386,"negative"
0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,"negative"
0.55,0.445,0.155,0.9905,0.544,0.178,0.218,"negative"
0.625,0.485,0.2,1.38,0.5845,0.302,0.401,"negative"
0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,"negative"
0.595,0.47,0.165,1.0155,0.491,0.1905,0.289,"negative"
0.625,0.485,0.15,1.044,0.438,0.2865,0.278,"negative"
0.6,0.475,0.15,1.13,0.575,0.196,0.305,"negative"
0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,"negative"
0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,"negative"
0.43,0.35,0.09,0.397,0.1575,0.089,0.12,"negative"
0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,"negative"
0.5,0.365,0.13,0.5945,0.309,0.1085,0.1535,"negative"
0.46,0.355,0.13,0.517,0.2205,0.114,0.165,"negative"
0.52,0.395,0.125,0.663,0.3005,0.131,0.1905,"negative"
0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375,"negative"
0.53,0.43,0.15,0.741,0.325,0.1855,0.196,"negative"
0.59,0.46,0.125,0.755,0.334,0.15,0.238,"negative"
0.505,0.405,0.11,0.625,0.305,0.16,0.175,"negative"
