"Height","Lenght","Area","Eccen","P_black","P_and","Mean_tr","Blackpix","Blackand","Wb_trans","Class"
17,389,6613,22.882,0.344,0.678,5,2273,4481,455,"negative"
8,61,488,7.625,0.207,0.803,1.31,101,392,77,"negative"
8,14,112,1.75,0.384,0.795,1.72,43,89,25,"negative"
7,20,140,2.857,0.4,1,1.87,56,140,30,"negative"
28,32,896,1.143,0.481,0.742,7.43,431,665,58,"positive"
8,12,96,1.5,0.396,0.99,1.9,38,95,20,"negative"
7,6,42,0.857,0.5,1,2.33,21,42,9,"negative"
9,34,306,3.778,0.386,0.706,2.41,118,216,49,"negative"
5,7,35,1.4,0.429,0.971,1.36,15,34,11,"negative"
9,17,153,1.889,0.392,0.935,2.22,60,143,27,"negative"
10,99,990,9.9,0.473,0.917,2.93,468,908,160,"negative"
8,14,112,1.75,0.321,0.938,1.71,36,105,21,"negative"
7,66,462,9.429,0.171,0.903,1.49,79,417,53,"negative"
9,6,54,0.667,0.5,0.593,13.5,27,32,2,"negative"
9,363,3267,40.333,0.128,0.532,1.28,417,1738,326,"negative"
8,29,232,3.625,0.345,0.681,2,80,158,40,"negative"
2,537,1074,268.5,0.538,0.555,82.57,578,596,7,"positive"
9,32,288,3.556,0.299,0.691,2.1,86,199,41,"negative"
9,12,108,1.333,0.444,1,1.85,48,108,26,"negative"
9,301,2709,33.444,0.178,0.694,1.3,482,1881,371,"negative"
1,60,60,60,0.217,1,1.08,13,60,12,"negative"
8,298,2384,37.25,0.242,0.791,1.5,576,1886,383,"negative"
7,14,98,2,0.367,0.786,1.57,36,77,23,"negative"
9,103,927,11.444,0.357,0.864,2.47,331,801,134,"negative"
41,67,2747,1.634,0.441,0.529,33.67,1212,1452,36,"negative"
8,42,336,5.25,0.363,0.97,2.18,122,326,56,"negative"
2,21,42,10.5,0.167,0.643,1.4,7,27,5,"negative"
4,4,16,1,0.438,0.438,7,7,7,1,"negative"
8,42,336,5.25,0.423,0.979,2.37,142,329,60,"negative"
8,101,808,12.625,0.222,0.834,1.29,179,674,139,"negative"
7,20,140,2.857,0.457,0.857,2.46,64,120,26,"negative"
9,510,4590,56.667,0.149,0.592,1.28,684,2717,533,"negative"
10,121,1210,12.1,0.415,0.879,2.61,502,1063,192,"negative"
9,1,9,0.111,1,1,9,9,9,1,"positive"
8,206,1648,25.75,0.236,0.793,1.64,389,1307,237,"negative"
12,146,1752,12.167,0.091,0.128,26.67,160,225,6,"positive"
33,180,5940,5.455,0.236,0.611,1.68,1400,3627,835,"negative"
9,25,225,2.778,0.32,0.707,2.25,72,159,32,"negative"
6,11,66,1.833,0.394,0.955,1.53,26,63,17,"negative"
16,408,6528,25.5,0.39,0.644,5.28,2546,4204,482,"negative"
8,13,104,1.625,0.423,0.99,1.76,44,103,25,"negative"
7,28,196,4,0.306,0.847,1.58,60,166,38,"negative"
