"Height","Lenght","Area","Eccen","P_black","P_and","Mean_tr","Blackpix","Blackand","Wb_trans","Class"
21,4,84,0.19,0.31,0.643,3.71,26,54,7,"negative"
1,29,29,29,1,1,29,29,29,1,"negative"
48,402,19296,8.375,0.055,0.094,4.13,1058,1814,256,"negative"
1,152,152,152,0.822,1,11.36,125,152,11,"negative"
9,6,54,0.667,0.407,0.519,5.5,22,28,4,"negative"
1,22,22,22,0.818,1,4.5,18,22,4,"negative"
1,34,34,34,0.353,1,1.71,12,34,7,"negative"
14,19,266,1.357,0.113,0.504,30,30,134,1,"negative"
22,22,484,1,0.107,0.473,1.79,52,229,29,"negative"
1,85,85,85,0.882,1,12.5,75,85,6,"negative"
11,48,528,4.364,0.237,0.39,7.35,125,206,17,"negative"
81,49,3969,0.605,0.113,0.398,2.26,449,1580,199,"negative"
1,106,106,106,0.434,1,1.02,46,106,45,"negative"
28,61,1708,2.179,0.172,0.509,1.97,294,870,149,"negative"
1,78,78,78,0.949,1,24.67,74,78,3,"negative"
3,286,858,95.333,0.406,0.427,87,348,366,4,"negative"
1,159,159,159,0.994,1,158,158,159,1,"negative"
1,184,184,184,0.967,1,44.5,178,184,4,"negative"
1,77,77,77,0.403,1,5.17,31,77,6,"negative"
2,204,408,102,0.412,0.681,10.5,168,278,16,"negative"
6,5,30,0.833,0.233,0.633,1.75,7,19,4,"negative"
1,75,75,75,0.92,1,11.5,69,75,6,"negative"
5,3,15,0.6,0.467,0.6,3.5,7,9,2,"negative"
1,10,10,10,1,1,10,10,10,1,"negative"
1,14,14,14,0.643,1,4.5,9,14,2,"negative"
1,107,107,107,0.869,1,18.6,93,107,5,"negative"
32,106,3392,3.313,0.198,0.395,4.56,671,1341,147,"negative"
2,157,314,78.5,0.506,0.551,26.5,159,173,6,"negative"
2,64,128,32,0.531,0.586,17,68,75,4,"negative"
1,40,40,40,1,1,40,40,40,1,"negative"
197,198,39006,1.005,0.273,0.332,46.93,10654,12964,227,"negative"
1,131,131,131,0.977,1,64,128,131,2,"negative"
7,9,63,1.286,0.143,0.238,9,9,15,1,"negative"
2,535,1070,267.5,0.648,0.92,11.75,693,984,59,"negative"
67,30,2010,0.448,0.169,0.46,2.26,339,924,150,"negative"
6,6,36,1,0.194,0.417,3.5,7,15,2,"negative"
25,300,7500,12,0.065,0.071,40.33,484,531,12,"negative"
3,544,1632,181.33,0.326,0.406,16.12,532,662,33,"negative"
6,17,102,2.833,0.137,0.627,2.8,14,64,5,"negative"
2,52,104,26,0.231,0.529,1.5,24,55,16,"negative"
1,36,36,36,0.583,1,4.2,21,36,5,"negative"
101,99,9999,0.98,0.14,0.778,2.02,1398,7780,691,"negative"
100,49,4900,0.49,0.093,0.4,1.77,458,1958,259,"negative"
8,231,1848,28.875,0.872,0.882,179,1611,1630,9,"negative"
11,552,6072,50.182,0.816,0.816,4955,4955,4955,1,"negative"
3,113,339,37.667,0.41,0.472,13.9,139,160,10,"negative"
1,102,102,102,0.961,1,24.5,98,102,4,"negative"
8,4,32,0.5,0.438,0.594,7,14,19,2,"negative"
31,105,3255,3.387,0.224,0.417,5.35,728,1358,136,"negative"
7,13,91,1.857,0.154,0.484,2,14,44,7,"negative"
1,52,52,52,0.788,1,10.25,41,52,4,"negative"
9,4,36,0.444,0.25,0.75,9,9,27,1,"negative"
36,43,1548,1.194,0.117,0.183,3.07,181,283,59,"negative"
1,17,17,17,0.882,1,7.5,15,17,2,"negative"
21,68,1428,3.238,0.052,0.109,5.69,74,156,13,"negative"
3,11,33,3.667,0.364,0.667,3,12,22,4,"negative"
1,47,47,47,1,1,47,47,47,1,"negative"
83,314,26062,3.783,0.298,0.671,8.75,7772,17482,888,"negative"
8,1,8,0.125,0.875,1,7,7,8,1,"negative"
1,33,33,33,0.667,1,3.67,22,33,6,"negative"
1,8,8,8,1,1,8,8,8,1,"negative"
1,14,14,14,0.929,1,13,13,14,1,"negative"
4,5,20,1.25,0.35,0.8,2.33,7,16,3,"negative"
1,148,148,148,0.959,1,47.33,142,148,3,"negative"
2,535,1070,267.5,0.545,0.629,24.29,583,673,24,"negative"
1,48,48,48,0.875,1,10.5,42,48,4,"negative"
1,46,46,46,0.239,1,1.38,11,46,8,"negative"
72,96,6912,1.333,0.488,0.582,15.69,3374,4025,215,"positive"
1,39,39,39,0.308,1,1.71,12,39,7,"negative"
1,34,34,34,0.471,1,1.07,16,34,15,"negative"
7,14,98,2,0.102,0.204,10,10,20,1,"negative"
53,48,2544,0.906,0.157,0.269,7.84,400,685,51,"negative"
1,63,63,63,0.952,1,20,60,63,3,"negative"
1,283,283,283,0.993,1,140.5,281,283,2,"negative"
1,61,61,61,1,1,61,61,61,1,"negative"
25,9,225,0.36,0.187,0.436,2.47,42,98,17,"negative"
2,25,50,12.5,0.36,1,4.5,18,50,4,"negative"
31,105,3255,3.387,0.242,0.456,4.89,787,1485,161,"negative"
45,79,3555,1.756,0.087,0.195,4.81,308,693,64,"negative"
86,67,5762,0.779,0.164,0.935,2.37,947,5386,399,"negative"
10,7,70,0.7,0.157,0.6,1.57,11,42,7,"negative"
3,59,177,19.667,0.475,0.475,84,84,84,1,"negative"
1,193,193,193,0.57,1,2.97,110,193,37,"negative"
2,22,44,11,0.477,1,21,21,44,1,"negative"
118,105,12390,0.89,0.052,0.105,3.33,642,1296,193,"negative"
54,357,19278,6.611,0.324,0.644,6.22,6238,12422,1003,"negative"
8,5,40,0.625,0.275,0.45,3.67,11,18,3,"negative"
1,16,16,16,1,1,16,16,16,1,"negative"
3,541,1623,180.33,0.71,0.747,88.62,1152,1213,13,"negative"
16,30,480,1.875,0.133,0.471,2.29,64,226,28,"negative"
2,446,892,223,0.439,0.603,17.82,392,538,22,"negative"
37,1,37,0.027,1,1,37,37,37,1,"negative"
1,45,45,45,0.756,1,5.67,34,45,6,"negative"
28,32,896,1.143,0.481,0.742,7.43,431,665,58,"positive"
1,136,136,136,0.963,1,32.75,131,136,4,"negative"
6,13,78,2.167,0.103,0.449,4,8,35,2,"negative"
1,277,277,277,1,1,277,277,277,1,"negative"
1,54,54,54,0.944,1,17,51,54,3,"negative"
1,255,255,255,0.686,1,4.86,175,255,36,"negative"
1,36,36,36,0.722,1,8.67,26,36,3,"negative"
68,34,2312,0.5,0.224,0.526,2.44,519,1215,213,"negative"
1,42,42,42,0.31,1,2.6,13,42,5,"negative"
1,199,199,199,0.945,1,37.6,188,199,5,"negative"
2,99,198,49.5,0.253,0.616,4.55,50,122,11,"negative"
2,535,1070,267.5,0.55,0.586,117.8,589,627,5,"negative"
5,4,20,0.8,0.45,0.65,4.5,9,13,2,"negative"
2,236,472,118,0.566,0.689,10.27,267,325,26,"negative"
11,252,2772,22.909,0.092,0.095,63.75,255,262,4,"negative"
1,27,27,27,0.407,1,1.83,11,27,6,"negative"
1,115,115,115,0.2,1,4.6,23,115,5,"negative"
7,47,329,6.714,0.158,0.289,5.78,52,95,9,"negative"
3,54,162,18,0.364,0.519,8.43,59,84,7,"negative"
53,48,2544,0.906,0.181,0.374,4.69,460,951,98,"negative"
1,279,279,279,0.964,1,38.43,269,279,7,"negative"
2,537,1074,268.5,0.507,0.528,181.33,544,567,3,"negative"
17,342,5814,20.118,0.916,0.996,30.27,5328,5790,176,"negative"
3,259,777,86.333,0.96,0.978,67.82,746,760,11,"negative"
1,196,196,196,0.98,1,64,192,196,3,"negative"
3,116,348,38.667,0.356,0.371,62,124,129,2,"negative"
1,9,9,9,0.889,1,8,8,9,1,"negative"
1,32,32,32,0.469,1,1.88,15,32,8,"negative"
6,5,30,0.833,0.367,1,2.2,11,30,5,"negative"
6,39,234,6.5,0.192,0.197,45,45,46,1,"negative"
2,537,1074,268.5,0.537,0.609,22.19,577,654,26,"negative"
19,462,8778,24.316,0.523,0.688,16.88,4591,6035,272,"negative"
2,537,1074,268.5,0.51,0.534,49.82,548,574,11,"negative"
2,49,98,24.5,0.51,0.51,50,50,50,1,"negative"
168,145,24360,0.863,0.798,0.963,13.06,19430,23457,1488,"positive"
2,101,202,50.5,0.54,0.743,10.9,109,150,10,"negative"
4,9,36,2.25,0.611,0.611,22,22,22,1,"negative"
25,169,4225,6.76,0.215,0.947,1.57,907,4000,579,"negative"
55,48,2640,0.873,0.142,0.364,4.26,375,960,88,"negative"
1,187,187,187,0.963,1,25.71,180,187,7,"negative"
1,19,19,19,0.737,1,4.67,14,19,3,"negative"
1,17,17,17,0.765,1,6.5,13,17,2,"negative"
1,15,15,15,0.867,1,6.5,13,15,2,"negative"
2,21,42,10.5,0.452,1,6.33,19,42,3,"negative"
3,113,339,37.667,0.357,0.378,30.25,121,128,4,"negative"
43,62,2666,1.442,0.08,0.17,6.63,212,454,32,"negative"
1,65,65,65,0.646,1,3,42,65,14,"negative"
1,14,14,14,1,1,14,14,14,1,"negative"
93,104,9672,1.118,0.451,0.611,4.25,4366,5908,1028,"positive"
