"RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Class"
1.52121876,14.0284,3.75813,0.5789,71.7924,0.11178,9.64792,0,0,"positive"
1.51609326,13.42325,3.39893,1.2209,72.6884,0.58995,8.32444,0,0,"positive"
1.52126432,14.321,3.90181,0.82928,71.5012,0,9.48652,0,0,"positive"
1.5177562,13.52965,3.40791,1.51943,72.0388,0.57753,8.78712,0,0,"positive"
1.51796122,13.50305,3.35852,1.62857,71.938,0.57132,8.80864,0,0.459,"positive"
1.5193508,13.6427,3.53812,0.74903,72.6492,0.16146,8.89472,0.1512,0.1224,"positive"
1.51609326,13.33015,3.52914,1.33967,72.6716,0.5589,8.3352,0,0,"positive"
1.52210718,14.188,3.78058,0.90953,71.3612,0.22977,9.1422,0,0.1887,"positive"
1.51777898,13.6427,3.65037,0.64952,73.002,0.0621,8.927,0,0,"positive"
1.51654886,13.40995,3.38995,1.27868,72.638,0.52164,8.64724,0,0,"positive"
1.51670832,13.23705,3.56955,1.3814,72.6996,0.5589,8.4428,0,0.051,"positive"
1.51645774,13.03755,3.39893,1.25942,73.0076,0.52164,8.58268,0,0,"positive"
1.51693612,12.858,3.57853,1.31078,72.61,0.60858,8.78712,0,0,"positive"
1.52069418096058,13.9695793383578,3.74169620560393,0.589669808465578,71.976868427074,0.104203618173748,9.53797706146978,0,0,"positive"
1.51997197854732,13.7709621499922,3.61128296505,0.692454320512898,72.3642764580935,0.144939223200381,9.14519200252563,0.100919374957681,0.0816966368705034,"positive"
1.52149577875969,14.0781649693243,3.76513014762739,0.681993933632206,71.6579472758606,0.148570530893337,9.49023115108587,0,0.0588386573402211,"positive"
1.51796103581202,13.6631137842239,3.65607336890839,0.645782324496005,72.9379800015628,0.064729392792955,8.96515583438601,0,0,"positive"
1.52122761929509,14.0852970532179,3.78606905880503,0.627587232346912,71.7357751814865,0.0900440033878991,9.6165352276508,0,0,"positive"
1.5190066552433,13.7803583215614,3.68883010041861,0.624315357353729,72.5702875142321,0.0798310485226102,9.18430007046941,0,0,"positive"
1.52125799532151,14.2803810156625,3.88186421849072,0.794522032472901,71.5416246351302,0.0155173959987983,9.50892568719097,0,0,"positive"
