"Height","Lenght","Area","Eccen","P_black","P_and","Mean_tr","Blackpix","Blackand","Wb_trans","Class"
1,69,69,69,0.667,1,4.18,46,69,11,"positive"
44,3,132,0.068,0.598,0.841,2.47,79,111,32,"positive"
18,1,18,0.056,1,1,18,18,18,1,"positive"
5,110,550,22,0.547,0.556,100.33,301,306,3,"positive"
1,42,42,42,0.19,1,1.6,8,42,5,"positive"
2,18,36,9,0.667,0.694,24,24,25,1,"positive"
1,14,14,14,0.571,1,2,8,14,4,"positive"
9,1,9,0.111,1,1,9,9,9,1,"positive"
3,213,639,71,0.318,0.379,11.94,203,242,17,"positive"
2,537,1074,268.5,0.538,0.555,82.57,578,596,7,"positive"
2,536,1072,268,0.538,0.737,30.37,577,790,19,"positive"
1,47,47,47,1,1,47,47,47,1,"positive"
2,46,92,23,0.511,0.554,47,47,51,1,"positive"
2,14,28,7,0.286,0.821,8,8,23,1,"positive"
1,15,15,15,0.867,1,13,13,15,1,"positive"
1,13,13,13,1,1,13,13,13,1,"positive"
4,7,28,1.75,0.286,1,2,8,28,4,"positive"
28,32,896,1.143,0.481,0.742,7.43,431,665,58,"positive"
1,12,12,12,0.75,1,9,9,12,1,"positive"
9,1,9,0.111,1,1,9,9,9,1,"positive"
2,116,232,58,0.616,0.802,17.88,143,186,8,"positive"
1,16,16,16,1,1,16,16,16,1,"positive"
1,9,9,9,0.778,1,7,7,9,1,"positive"
34,1,34,0.029,1,1,34,34,34,1,"positive"
28,31,868,1.107,0.492,0.745,7.49,427,647,57,"positive"
136,1,136,0.007,0.993,1,135,135,136,1,"positive"
2,22,44,11,0.75,0.75,33,33,33,1,"positive"
63,79,4977,1.254,0.338,0.345,186.78,1681,1718,9,"positive"
9,1,9,0.111,1,1,9,9,9,1,"positive"
6,5,30,0.833,0.233,0.633,1.75,7,19,4,"positive"
1,11,11,11,0.727,1,4,8,11,2,"positive"
1,8,8,8,0.875,1,7,7,8,1,"positive"
1,28,28,28,0.964,1,27,27,28,1,"positive"
1,187,187,187,0.963,1,25.71,180,187,7,"positive"
37,1,37,0.027,1,1,37,37,37,1,"positive"
7,13,91,1.857,0.154,0.484,2,14,44,7,"positive"
1,117,117,117,0.393,1,5.75,46,117,8,"positive"
7,24,168,3.429,0.101,0.298,1.89,17,50,9,"positive"
1,17,17,17,0.765,1,3.25,13,17,4,"positive"
12,146,1752,12.167,0.091,0.128,26.67,160,225,6,"positive"
1,47.082185423933,47.082185423933,47.082185423933,0.998756011537742,1,46.8400372794177,46.9962642989121,47.082185423933,1.03735701087862,"positive"
1,52.1948171881959,52.1948171881959,52.1948171881959,0.370108436991461,1,2.57417142020538,22.3482612278312,52.1948171881959,7.2655149307102,"positive"
1,59.9188865250908,59.9188865250908,59.9188865250908,0.506566995276604,1,3.31224915684201,33.2191736279055,59.9188865250908,8.98197478335351,"positive"
1,51.2100210688077,51.2100210688077,51.2100210688077,0.936275590185774,1,38.8057680833479,46.8086354059633,51.2100210688077,2.91364594036713,"positive"
1,61.0402737990953,61.0402737990953,61.0402737990953,0.526378170450684,1,3.41940394080244,34.7974223839119,61.0402737990953,9.23117195535451,"positive"
1.11985675757751,66.2432945757173,71.7567054242827,63.4865891514346,0.648302345817909,0.946543886120431,9.31226635946892,46.1198567575775,66.8425783636048,9.80143242422491,"positive"
1.96848961152136,46.7247389350086,91.2752610649914,24.4494778700173,0.515915620602667,0.568053633261472,45.6507251653448,46.9684896115214,51.5671869926155,1.31510388478637,"positive"
1,66.0590988260228,66.0590988260228,66.0590988260228,0.615044079259736,1,3.89898055448662,41.8609539032914,66.0590988260228,10.3464664057828,"positive"
28.076413675677,19.3027193320449,116.834679691121,8.76227813308034,0.565015428328188,0.732188826783793,19.3527928338596,66.8677437528968,88.2520195366815,20.2468767606188,"positive"
12.5823642851319,11.4912528959103,97.1858631267678,1.58708514307835,0.220988371421583,0.537862271616003,2.07091111389222,23.8068561765831,54.108605597401,10.7718677602243,"positive"
40.2058790149167,8.82353453524411,126.441171579994,6.15024064520374,0.604088240650482,0.855029424107633,2.62088248568587,76.0882327323779,107.294114386663,30.1470571933314,"positive"
16.8595046233386,30.7866976475343,106.151909165084,14.8867104756571,0.541780402434058,0.65553994825948,31.2453871219698,58.3215273320675,72.2278637476265,11.9677296029404,"positive"
40.4789211088791,4.99845018144697,135.425914596766,0.38784719332587,0.550703345705755,0.789325788165443,2.41480470927432,73.0998137500137,105.194978044368,29.8112212298438,"positive"
27.9917518366128,19.3893969291821,116.754049368203,8.8085034972094,0.564840057375841,0.731610304216854,19.4425545408484,66.8032394945621,88.131074052304,20.1843882603571,"positive"
5.86348884552717,42.0445233248174,95.6795131862164,20.8905350903422,0.519002941180021,0.580400507111102,42.9037819454446,49.9436105489731,56.5192697793245,3.85162271931767,"positive"
36.4672086955979,7.2753680376336,139.329202350229,0.752262474975549,0.496816289776005,0.730451197884046,2.35191840657964,66.3774848412722,98.5810737954453,27.3174540540203,"positive"
11.8117599932011,1,11.8117599932011,0.0938170222637709,1,1,11.8117599932011,11.8117599932011,11.8117599932011,1,"positive"
17.665374178905,1,17.665374178905,0.0580449355733581,1,1,17.665374178905,17.665374178905,17.665374178905,1,"positive"
16.2242457428947,1,16.2242457428947,0.066851831571199,1,1,16.2242457428947,16.2242457428947,16.2242457428947,1,"positive"
12.9573163641617,2.68089454527944,23.0426836358383,0.382513765420532,0.677688470942667,0.845777925470611,11.1713659098023,13.3775400004815,18.4202236363199,2.26067090895958,"positive"
17.9681439965498,1,17.9681439965498,0.0561946755766403,1,1,17.9681439965498,17.9681439965498,17.9681439965498,1,"positive"
16.2206381675787,1,16.2206381675787,0.0668738778647967,1,1,16.2206381675787,16.2206381675787,16.2206381675787,1,"positive"
12.3474412802607,2.88418623991311,23.6525587197393,0.422003177103121,0.638707288496662,0.827125912487973,10.345493400353,12.818487840239,18.4710465599783,2.41313967993483,"positive"
