"idx","RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Class"
75,1.51871296,12.93115,3.65935,1.56116,72.5092,0.57753,8.5504,0,0.0612,"negative"
51,1.51618438,13.52965,3.55159,1.53869,72.9908,0.39123,7.77568,0,0,"negative"
3,1.52212996,14.20795,3.82099,0.46976,71.77,0.11178,9.5726,0,0,"negative"
71,1.51645774,13.40995,3.55159,1.24979,72.8116,0.6831,8.09848,0,0,"negative"
172,1.51732338,14.95275,0,1.7987,72.9908,0,8.61496,1.5498,0,"negative"
115,1.5173006,12.3526,2.72094,1.62857,72.8676,0.70173,9.22828,0,0,"negative"
186,1.5193508,13.6427,3.53812,0.74903,72.6492,0.16146,8.89472,0.1512,0.1224,"positive"
191,1.52126432,14.321,3.90181,0.82928,71.5012,0,9.48652,0,0,"positive"
56,1.5215149,13.11735,3.57853,0.8999,72.2012,0.22977,9.82008,0,0.0816,"negative"
158,1.5161616,14.95275,0,2.27057,73.2988,0,8.7118,0.67095,0,"negative"
62,1.51768786,12.45235,2.71196,1.29152,73.702,0.5589,9.05612,0,0.1224,"negative"
102,1.51652608,13.5629,3.56955,1.47128,72.4476,0.63963,7.9586,0,0,"negative"
130,1.52176548,13.19715,3.6818,1.15028,72.75,0.54027,8.51812,0,0,"negative"
152,1.52315506,13.4432,3.34056,1.23053,72.3804,0.60237,8.83016,0,0,"negative"
129,1.5167311,13.2969,3.64139,1.52906,72.5316,0.65205,8.03392,0,0.1479,"negative"
84,1.51645774,13.4432,3.60996,1.53869,72.3916,0.65826,8.03392,0,0,"negative"
35,1.51910022,13.88875,3.52914,1.32041,71.8092,0.50922,8.77636,0.11025,0,"negative"
155,1.51682222,14.5604,0,1.97846,73.2876,0,8.51812,1.5687,0.0357,"negative"
109,1.51686778,13.2304,3.53812,1.48091,72.8396,0.5589,8.09848,0,0,"negative"
48,1.52666318,13.9885,3.69976,0.71051,71.5684,0.01863,9.82008,0,0.051,"negative"
101,1.52408904,13.8289,2.90054,1.16954,71.1484,0.08073,10.78848,0,0,"negative"
125,1.51591102,12.8181,3.52016,1.90142,72.862,0.68931,7.96936,0,0,"negative"
180,1.51645774,13.03755,3.39893,1.25942,73.0076,0.52164,8.58268,0,0,"positive"
160,1.52365622,15.79065,1.83192,1.31078,70.4316,0.3105,8.61496,1.67895,0,"negative"
47,1.52212996,14.20795,3.82099,0.46976,71.77,0.11178,9.5726,0,0,"negative"
44,1.5229956,13.3102,3.57853,0.81965,71.9884,0.11799,10.17516,0,0.0153,"negative"
143,1.51689056,12.6718,2.87809,1.70882,73.2092,0.73278,8.53964,0,0,"negative"
171,1.51657164,14.7998,0,1.9913,73.1084,0,8.2814,1.71045,0,"negative"
150,1.51556932,13.8688,0,2.54021,73.2316,0.14283,9.4112,0.80955,0.0051,"negative"
64,1.51766508,13.21045,3.69078,1.29152,72.61,0.57132,8.21684,0,0,"negative"
112,1.51572878,14.85965,3.66833,1.74092,71.8708,0.16146,7.35604,0,0.0612,"negative"
54,1.51796122,12.7383,3.47975,1.3493,72.9572,0.63963,8.67952,0,0,"negative"
80,1.5170728,13.7225,3.6818,1.81154,72.0612,0.63963,7.88328,0,0,"negative"
142,1.51709558,12.99765,3.47077,1.78907,72.722,0.65826,8.18456,0,0,"negative"
149,1.51130946,13.68925,3.20137,1.81154,72.8116,1.75743,5.43,1.1907,0,"negative"
65,1.51566044,13.29025,3.44832,1.21127,72.7388,0.5589,8.57192,0,0,"negative"
173,1.51613882,13.8821,1.77804,1.78907,73.0972,0,8.66876,0.75915,0,"negative"
179,1.52121876,14.0284,3.75813,0.5789,71.7924,0.11178,9.64792,0,0,"positive"
124,1.51800678,13.7092,3.92875,1.53869,71.8092,0.54027,8.20608,0,0.0765,"negative"
59,1.51736894,12.7782,3.61894,1.29152,72.7892,0.58995,8.70104,0,0,"negative"
32,1.51743728,13.2969,3.60098,1.14065,73.0916,0.57753,8.1738,0,0,"negative"
141,1.51663998,12.93115,3.53812,1.61894,72.9572,0.63963,8.03392,0,0.1071,"negative"
60,1.51768786,12.65185,3.56057,1.30115,73.0804,0.60858,8.69028,0,0.0714,"negative"
126,1.5163894,12.5521,3.47975,1.86932,73.2316,0.62721,8.07696,0,0.459,"negative"
183,1.51777898,13.6427,3.65037,0.64952,73.002,0.0621,8.927,0,0,"positive"
76,1.52176548,13.7491,1.01025,1.35893,72.19,0.32913,11.14356,0,0,"negative"
61,1.51755118,12.7117,3.42138,1.19843,73.198,0.58995,8.63648,0,0,"negative"
133,1.51408862,14.24785,3.08912,2.08118,72.2796,1.09917,7.07628,0,0,"negative"
156,1.51645774,14.93945,0,1.86932,73.1084,0,8.66876,1.3797,0,"negative"
128,1.51654886,12.7516,2.85115,1.43918,73.2708,0.57132,8.78712,0.11025,0.1122,"negative"
43,1.52320062,13.7225,3.72221,0.51149,71.7476,0.08694,10.568,0,0.0816,"negative"
22,1.51782454,12.69175,3.53812,1.33967,72.9516,0.57132,8.75484,0,0,"negative"
11,1.51215232,12.991,3.47077,1.12139,72.9796,0.621,8.34596,0,0.1581,"negative"
26,1.51595658,12.7915,3.60996,1.61894,72.9684,0.63963,8.0662,0,0.1326,"negative"
151,1.5163894,14.36755,0,2.73923,72.8508,0,9.45424,0.53865,0,"negative"
113,1.51625272,13.35675,3.57853,1.49054,72.722,0.44712,8.20608,0,0,"negative"
2,1.5176423,12.9777,3.53812,1.21127,73.002,0.65205,8.52888,0,0,"negative"
176,1.5177562,13.52965,3.40791,1.51943,72.0388,0.57753,8.78712,0,0,"positive"
119,1.51568322,13.23705,3.48873,1.47128,73.2484,0.37881,8.03392,0,0,"negative"
21,1.51750562,12.81145,3.56955,1.3493,73.0188,0.621,8.59344,0,0,"negative"
157,1.5171867,14.75325,0,2.00093,73.0188,0,8.52888,1.59075,0.0408,"negative"
144,1.5266404,11.22875,0,0.7715,73.2092,0,14.6836,0,0,"negative"
52,1.51761952,12.61195,3.592,1.31078,73.2876,0.57753,8.4966,0,0,"negative"
79,1.5160477,12.8979,3.43934,1.44881,73.58,0.44091,8.27064,0,0,"negative"
97,1.51711836,12.89125,3.61894,1.57079,72.9572,0.60858,8.10924,0,0,"negative"
12,1.51976084,13.80895,3.57853,1.32041,71.7196,0.11799,8.66876,0.68985,0,"negative"
175,1.52247166,14.85965,2.2001,2.05871,70.258,0.75762,9.75552,0,0,"negative"
78,1.51618438,13.01095,3.5022,1.48091,72.89,0.60237,8.12,0,0,"negative"
68,1.51777898,13.21045,2.81074,1.29152,72.9796,0.50922,9.02384,0,0.459,"negative"
170,1.51837126,14.321,3.25974,2.21921,71.2492,1.45935,5.78508,1.62855,0,"negative"
45,1.52101374,13.6427,4.49,1.09892,71.7812,0.0621,8.75484,0,0,"negative"
82,1.52613924,13.70255,0,1.35893,71.238,0.19251,13.43544,0,0.051,"negative"
53,1.51768786,12.55875,3.52016,1.42955,73.1476,0.57132,8.53964,0,0,"negative"
146,1.51812068,12.95775,2.95891,1.42955,72.918,0.60237,8.78712,0.1386,0,"negative"
182,1.51693612,12.858,3.57853,1.31078,72.61,0.60858,8.78712,0,0,"positive"
159,1.51711836,14.2279,0,2.08118,73.3604,0,8.61496,1.6695,0,"negative"
147,1.51652608,11.94695,0,1.1888,75.1804,2.70135,8.927,0,0,"negative"
50,1.52171992,13.4831,3.74017,0.8999,72.0108,0.18009,9.60488,0,0.0357,"negative"
5,1.51755118,13.39,3.65935,1.1888,72.7892,0.57132,8.27064,0,0.0561,"negative"
33,1.515706,12.71835,3.46179,1.56116,73.198,0.67068,8.08772,0,0.1224,"negative"
