"Height","Lenght","Area","Eccen","P_black","P_and","Mean_tr","Blackpix","Blackand","Wb_trans","Class"
28,31,868,1.107,0.492,0.745,7.49,427,647,57,"positive"
168,145,24360,0.863,0.798,0.963,13.06,19430,23457,1488,"positive"
28,32,896,1.143,0.488,0.743,7.05,437,666,62,"positive"
64,73,4672,1.141,0.403,0.445,72.38,1882,2077,26,"positive"
29,31,899,1.069,0.463,0.726,6.93,416,653,60,"positive"
28,32,896,1.143,0.481,0.742,7.43,431,665,58,"positive"
28,31,868,1.107,0.508,0.767,7.47,441,666,59,"positive"
153,158,24174,1.033,0.587,0.641,46.95,14180,15491,302,"positive"
128,347,44416,2.711,0.399,0.567,13.07,17721,25163,1356,"positive"
187,137,25619,0.733,0.899,0.991,29.29,23025,25400,786,"positive"
72,96,6912,1.333,0.488,0.582,15.69,3374,4025,215,"positive"
28,32,896,1.143,0.462,0.722,7.02,414,647,59,"positive"
174,471,81954,2.707,0.339,0.433,15.84,27820,35499,1756,"positive"
29,32,928,1.103,0.476,0.72,7.25,442,668,61,"positive"
65,50,3250,0.769,0.454,0.487,245.83,1475,1582,6,"positive"
93,104,9672,1.118,0.451,0.611,4.25,4366,5908,1028,"positive"
186,469,87234,2.522,0.378,0.529,22.29,33017,46133,1481,"positive"
28,31,868,1.107,0.49391578463465,0.747634203872643,7.48760526920669,428.676311555319,649.274994253647,57.2394730793312,"positive"
28,31.7766712147277,889.746794012375,1.1349601637302,0.483456616637995,0.742669986355817,7.44339972711634,430.106684858911,660.980081865098,57.7766712147277,"positive"
28.5412524205167,31,884.778825036017,1.08643240802037,0.476303679805016,0.734716204010183,7.18689864451066,421.046223374316,650.2475145231,58.6237572615501,"positive"
28,31.0353340867441,868.989354428835,1.10827202712279,0.491611325045815,0.744893997739768,7.48787995479535,427.141336346976,647.636013561394,57.0353340867441,"positive"
28,31,868,1.107,0.507738068684936,0.766639844441786,7.47032741414383,440.770810099319,665.688956563361,58.9672585856169,"positive"
28,31.2638088040985,875.386646514758,1.11649711694755,0.484085735877045,0.738932397505734,7.3660098620737,423.570485546719,647,57.527617608197,"positive"
28.1780235858168,31,873.518731160322,1.10023510373896,0.486837316011311,0.74161755186948,7.39030679194257,425.041740556015,648.068141514901,57.5340707574505,"positive"
28,31.2284765457734,874.397343281657,1.11522515564784,0.485145703626797,0.739745039447211,7.38261602348648,424.029804904945,647,57.4569530915469,"positive"
28,31,868,1.107,0.50328496946767,0.760516833018046,7.47589378816541,436.874348284211,660.400901242858,58.4106211834587,"positive"
28.2008425663225,31,874.226119555999,1.09936798247974,0.486175565576646,0.741183991239872,7.37752816285938,424.790731770452,648.205055397935,57.6025276989676,"positive"
28,31.1254918128252,871.513770759106,1.11151770526171,0.488235245615244,0.74211368830502,7.43101884797215,425.368606433272,647,57.2509836256504,"positive"
28,31.7218829803169,888.212723448873,1.13298778729141,0.470343510590494,0.728396691452712,7.15071499925107,417.615521255881,647,58.4437659606338,"positive"
28,31,868,1.107,0.500651024583727,0.756895158802625,7.47918621927034,434.569646510761,657.273091693176,58.0813780729659,"positive"
28.9788574245758,31,898.344580161851,1.06980341786612,0.463613134687301,0.726401708933059,6.94183984223753,416.232568329666,652.873144547455,59.9365722737275,"positive"
28,31.9900419786572,895.721175402403,1.14264151123166,0.48110953823477,0.742029874064028,7.43059748128057,430.960167914629,664.82075561583,57.9900419786572,"positive"
28,31.7080829758197,887.826323322952,1.13249098712951,0.470757510725409,0.728714091556147,7.15720100136474,417.794921314344,647,58.4161659516394,"positive"
28,31.5748636270873,884.096181558445,1.12769509057514,0.485676500102039,0.743275409118738,7.45550818237476,429.299454508349,657.347545287572,57.5748636270873,"positive"
