"idx","Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight","Class"
1,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,"positive"
2,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,"negative"
3,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,"positive"
4,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,"negative"
5,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,"negative"
6,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,"negative"
7,0.505,0.405,0.11,0.625,0.305,0.16,0.175,"negative"
8,0.595,0.475,0.17,1.247,0.48,0.225,0.425,"negative"
9,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,"negative"
10,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,"negative"
11,0.58,0.45,0.14,1.013,0.38,0.216,0.36,"negative"
12,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,"negative"
13,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,"positive"
14,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,"negative"
15,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,"negative"
16,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,"negative"
17,0.4,0.3,0.11,0.315,0.109,0.067,0.12,"negative"
18,0.45,0.35,0.13,0.46,0.174,0.111,0.135,"negative"
19,0.445,0.355,0.15,0.485,0.181,0.125,0.155,"negative"
20,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,"negative"
21,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,"negative"
22,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,"positive"
23,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,"negative"
24,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,"negative"
25,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,"negative"
26,0.565,0.455,0.175,1.013,0.342,0.207,0.35,"positive"
27,0.295,0.215,0.085,0.128,0.049,0.034,0.04,"negative"
