"idx","Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight","Class"
77,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,"negative"
146,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,"negative"
289,0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,"negative"
41,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,"positive"
293,0.5,0.385,0.12,0.6335,0.2305,0.125,0.235,"negative"
178,0.625,0.465,0.155,0.972,0.404,0.1845,0.35,"negative"
258,0.475,0.365,0.14,0.4545,0.171,0.118,0.158,"negative"
248,0.655,0.53,0.19,1.428,0.493,0.318,0.565,"negative"
165,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,"negative"
14,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,"negative"
156,0.69,0.55,0.2,1.8465,0.732,0.472,0.57,"positive"
184,0.565,0.44,0.175,1.122,0.393,0.2,0.375,"negative"
219,0.605,0.495,0.17,1.0915,0.4365,0.2715,0.335,"negative"
263,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,"positive"
260,0.455,0.345,0.125,0.44,0.169,0.1065,0.135,"negative"
304,0.395,0.28,0.08,0.266,0.0995,0.066,0.09,"negative"
100,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,"negative"
133,0.655,0.51,0.15,1.043,0.4795,0.223,0.305,"negative"
308,0.525,0.41,0.115,0.7745,0.416,0.163,0.18,"negative"
176,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,"negative"
213,0.72,0.565,0.18,1.719,0.8465,0.407,0.3875,"negative"
292,0.68,0.52,0.175,1.543,0.7525,0.351,0.374,"negative"
271,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,"negative"
257,0.47,0.375,0.105,0.468,0.1665,0.108,0.17,"negative"
89,0.59,0.465,0.155,1.136,0.5245,0.2615,0.275,"negative"
119,0.7,0.55,0.17,1.684,0.7535,0.3265,0.32,"negative"
135,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,"negative"
262,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,"negative"
288,0.36,0.265,0.085,0.1865,0.0675,0.037,0.0615,"negative"
78,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,"negative"
196,0.765,0.585,0.18,2.398,1.128,0.512,0.5335,"negative"
269,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,"negative"
186,0.44,0.325,0.115,0.39,0.163,0.087,0.113,"negative"
122,0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,"negative"
181,0.345,0.255,0.1,0.197,0.071,0.051,0.06,"negative"
193,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,"negative"
273,0.62,0.51,0.18,1.233,0.592,0.274,0.322,"negative"
92,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,"negative"
225,0.715,0.55,0.175,1.825,0.938,0.3805,0.44,"negative"
123,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,"negative"
172,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,"negative"
114,0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,"negative"
51,0.68,0.53,0.185,1.1095,0.439,0.245,0.34,"negative"
95,0.52,0.46,0.15,1.019,0.523,0.1985,0.254,"negative"
237,0.46,0.355,0.14,0.491,0.207,0.115,0.174,"negative"
279,0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,"negative"
281,0.285,0.225,0.07,0.1005,0.0425,0.0185,0.035,"negative"
117,0.65,0.485,0.14,1.175,0.475,0.2435,0.215,"negative"
87,0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955,"negative"
259,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,"positive"
239,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185,"negative"
149,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,"positive"
245,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,"negative"
145,0.4,0.305,0.16,0.368,0.173,0.0705,0.105,"negative"
137,0.72,0.56,0.18,1.5865,0.691,0.375,0.4425,"negative"
214,0.72,0.55,0.18,1.52,0.637,0.325,0.435,"negative"
209,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,"negative"
131,0.615,0.475,0.175,1.224,0.6035,0.261,0.311,"negative"
60,0.59,0.45,0.16,0.9,0.358,0.156,0.315,"positive"
275,0.215,0.15,0.055,0.041,0.015,0.009,0.0125,"negative"
