"idx","Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight","Class"
265,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,"negative"
841,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,"negative"
3444,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,"negative"
752,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,"negative"
3790,0.65,0.495,0.175,1.227,0.528,0.258,0.37,"negative"
3502,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,"negative"
436,0.5,0.41,0.15,0.662,0.2815,0.137,0.22,"negative"
1050,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,"negative"
2543,0.73,0.57,0.165,2.0165,1.0685,0.418,0.435,"negative"
3171,0.505,0.405,0.18,0.606,0.239,0.1235,0.18,"negative"
2925,0.61,0.425,0.155,1.0485,0.507,0.1955,0.274,"negative"
645,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,"negative"
1530,0.21,0.17,0.045,0.0475,0.019,0.011,0.013,"negative"
4080,0.56,0.45,0.145,0.9355,0.425,0.1645,0.2725,"negative"
4020,0.69,0.58,0.195,1.658,0.708,0.3615,0.4715,"negative"
808,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,"negative"
1916,0.6,0.475,0.15,0.99,0.386,0.2195,0.3105,"negative"
6,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,"negative"
3532,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,"negative"
3034,0.55,0.405,0.15,0.6755,0.3015,0.1465,0.21,"negative"
3620,0.655,0.455,0.17,1.275,0.583,0.303,0.333,"negative"
983,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,"negative"
709,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,"negative"
4118,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,"negative"
1617,0.555,0.46,0.145,0.9005,0.3845,0.158,0.2765,"negative"
3313,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125,"negative"
569,0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345,"negative"
3337,0.685,0.525,0.175,1.71,0.5415,0.309,0.58,"negative"
2588,0.575,0.45,0.155,0.948,0.429,0.206,0.259,"negative"
1712,0.645,0.5,0.175,1.3375,0.554,0.308,0.415,"negative"
681,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,"negative"
214,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,"negative"
920,0.42,0.32,0.115,0.376,0.169,0.092,0.1,"negative"
2771,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,"negative"
2725,0.4,0.305,0.1,0.3415,0.176,0.0625,0.0865,"negative"
242,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,"negative"
1434,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675,"negative"
1946,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,"negative"
471,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,"negative"
415,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,"negative"
1318,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,"negative"
832,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,"negative"
1569,0.475,0.36,0.1,0.4285,0.1965,0.099,0.112,"negative"
1075,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,"negative"
587,0.52,0.425,0.17,0.6805,0.28,0.174,0.195,"negative"
3390,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,"negative"
2678,0.615,0.47,0.155,1.084,0.5885,0.209,0.246,"negative"
1069,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,"negative"
463,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,"negative"
3983,0.6,0.465,0.155,1.262,0.6245,0.2455,0.33,"negative"
3294,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,"negative"
3071,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401,"negative"
567,0.485,0.355,0.13,0.581,0.245,0.132,0.168,"negative"
2036,0.27,0.195,0.065,0.1065,0.0475,0.0225,0.0285,"negative"
3798,0.705,0.56,0.17,1.4575,0.607,0.318,0.44,"negative"
2348,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,"negative"
1781,0.525,0.365,0.17,0.9605,0.438,0.2225,0.276,"negative"
1670,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,"negative"
768,0.55,0.43,0.155,0.785,0.289,0.227,0.233,"negative"
8,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,"negative"
2676,0.615,0.475,0.17,1.055,0.543,0.246,0.2345,"negative"
644,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,"negative"
2860,0.72,0.565,0.17,1.613,0.723,0.3255,0.4945,"negative"
3207,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,"negative"
2439,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,"negative"
3452,0.555,0.42,0.11,0.931,0.4445,0.171,0.225,"negative"
3547,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,"negative"
1269,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,"negative"
2328,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,"negative"
73,0.595,0.475,0.17,1.247,0.48,0.225,0.425,"negative"
441,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,"negative"
2830,0.535,0.405,0.14,0.818,0.402,0.1715,0.189,"negative"
1256,0.43,0.34,0,0.428,0.2065,0.086,0.115,"negative"
2980,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,"negative"
3888,0.62,0.5,0.2,1.221,0.4605,0.263,0.43,"negative"
911,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,"negative"
2938,0.625,0.49,0.145,0.92,0.437,0.1735,0.28,"negative"
50,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,"negative"
3915,0.52,0.41,0.16,0.712,0.2845,0.153,0.225,"negative"
