"idx","Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight","Class"
405,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,"positive"
424,0.565,0.44,0.15,0.983,0.4475,0.2355,0.2485,"negative"
668,0.575,0.465,0.12,1.0535,0.516,0.2185,0.235,"negative"
724,0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,"negative"
595,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,"negative"
604,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,"negative"
655,0.55,0.415,0.18,1.1655,0.502,0.301,0.311,"negative"
397,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,"negative"
290,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,"negative"
627,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,"negative"
3,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,"negative"
212,0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,"negative"
693,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,"negative"
222,0.635,0.495,0.175,1.211,0.707,0.2725,0.323,"negative"
343,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,"negative"
61,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,"negative"
202,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,"negative"
14,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,"negative"
540,0.595,0.48,0.14,0.9125,0.4095,0.1825,0.289,"negative"
554,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,"negative"
537,0.575,0.445,0.16,0.9175,0.45,0.1935,0.24,"negative"
140,0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,"negative"
381,0.61,0.45,0.16,1.136,0.414,0.311,0.3,"negative"
102,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,"negative"
643,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,"negative"
572,0.635,0.51,0.155,1.156,0.428,0.289,0.315,"positive"
685,0.57,0.44,0.19,1.018,0.447,0.207,0.265,"negative"
190,0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,"negative"
673,0.625,0.495,0.155,1.177,0.5055,0.278,0.345,"negative"
299,0.485,0.345,0.16,0.869,0.3085,0.185,0.319,"negative"
711,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,"negative"
363,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,"negative"
240,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,"negative"
470,0.505,0.385,0.125,0.596,0.245,0.097,0.21,"negative"
452,0.57,0.43,0.16,0.811,0.3875,0.159,0.2285,"negative"
318,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,"negative"
670,0.58,0.42,0.14,0.701,0.3285,0.102,0.2255,"negative"
563,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,"negative"
587,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,"positive"
341,0.62,0.49,0.15,1.195,0.4605,0.302,0.355,"negative"
288,0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,"negative"
369,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,"negative"
345,0.64,0.49,0.155,1.1285,0.477,0.269,0.34,"negative"
6,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,"negative"
50,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,"positive"
187,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,"negative"
274,0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,"negative"
91,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,"negative"
585,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,"positive"
173,0.69,0.54,0.155,1.454,0.624,0.3105,0.39,"negative"
653,0.51,0.38,0.135,0.681,0.3435,0.142,0.17,"negative"
323,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,"negative"
428,0.6,0.485,0.165,1.1405,0.587,0.2175,0.288,"negative"
316,0.525,0.415,0.12,0.596,0.2805,0.12,0.1695,"negative"
402,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,"negative"
214,0.59,0.47,0.18,1.187,0.5985,0.227,0.31,"negative"
479,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,"negative"
176,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,"negative"
63,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,"positive"
626,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,"negative"
279,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,"negative"
509,0.585,0.45,0.135,0.855,0.3795,0.187,0.26,"negative"
534,0.56,0.45,0.145,0.894,0.3885,0.2095,0.264,"negative"
553,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,"negative"
437,0.62,0.51,0.175,1.2705,0.5415,0.323,0.3225,"negative"
350,0.515,0.4,0.14,0.6335,0.288,0.145,0.168,"negative"
393,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,"negative"
439,0.625,0.49,0.165,1.127,0.477,0.2365,0.3185,"negative"
651,0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,"negative"
476,0.575,0.435,0.155,0.8975,0.4115,0.2325,0.23,"negative"
484,0.66,0.505,0.19,1.4045,0.6255,0.3375,0.3745,"negative"
277,0.605,0.47,0.145,0.8025,0.379,0.2265,0.22,"negative"
36,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,"negative"
5,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,"positive"
348,0.505,0.39,0.12,0.653,0.3315,0.1385,0.167,"negative"
259,0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,"negative"
377,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,"negative"
149,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,"negative"
494,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,"negative"
375,0.56,0.425,0.125,0.932,0.361,0.213,0.335,"negative"
88,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,"positive"
28,0.28,0.205,0.08,0.127,0.052,0.039,0.042,"negative"
419,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,"positive"
77,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,"negative"
477,0.58,0.425,0.15,0.844,0.3645,0.185,0.2705,"negative"
4,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,"negative"
721,0.57,0.45,0.15,0.9645,0.531,0.189,0.209,"negative"
510,0.59,0.5,0.15,1.142,0.485,0.265,0.345,"negative"
594,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,"negative"
680,0.53,0.41,0.145,0.8255,0.375,0.204,0.245,"negative"
463,0.65,0.515,0.125,1.1805,0.5235,0.283,0.3275,"negative"
586,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,"negative"
674,0.425,0.305,0.11,0.359,0.173,0.0875,0.0975,"negative"
245,0.63,0.455,0.15,1.1315,0.481,0.2745,0.305,"negative"
85,0.48,0.375,0.145,0.777,0.216,0.13,0.17,"negative"
543,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,"negative"
491,0.54,0.42,0.14,0.8035,0.38,0.1805,0.21,"negative"
228,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,"negative"
374,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,"negative"
357,0.66,0.515,0.195,1.5655,0.7345,0.353,0.386,"negative"
593,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,"negative"
229,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,"negative"
442,0.65,0.5,0.185,1.4415,0.741,0.2955,0.341,"negative"
365,0.595,0.465,0.15,0.919,0.4335,0.1765,0.262,"negative"
11,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,"negative"
615,0.575,0.475,0.16,0.895,0.3605,0.221,0.271,"negative"
165,0.61,0.47,0.165,1.052,0.498,0.242,0.267,"negative"
538,0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235,"negative"
584,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,"positive"
588,0.35,0.265,0.11,0.209,0.066,0.059,0.075,"negative"
158,0.58,0.45,0.155,0.93,0.385,0.246,0.265,"negative"
429,0.69,0.55,0.18,1.659,0.8715,0.2655,0.4395,"negative"
185,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,"negative"
97,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,"negative"
145,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,"negative"
533,0.535,0.42,0.145,0.6885,0.273,0.1515,0.237,"negative"
413,0.345,0.255,0.1,0.197,0.071,0.051,0.06,"negative"
247,0.65,0.5,0.16,1.3825,0.702,0.304,0.3195,"negative"
652,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,"negative"
376,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,"negative"
501,0.5,0.39,0.13,0.5075,0.2115,0.104,0.1755,"negative"
518,0.67,0.485,0.175,1.2565,0.5355,0.322,0.386,"negative"
220,0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,"negative"
122,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,"negative"
134,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,"negative"
227,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,"negative"
601,0.595,0.47,0.165,1.0155,0.491,0.1905,0.289,"negative"
286,0.625,0.485,0.15,1.044,0.438,0.2865,0.278,"negative"
273,0.6,0.475,0.15,1.13,0.575,0.196,0.305,"negative"
320,0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,"negative"
382,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,"negative"
558,0.43,0.35,0.09,0.397,0.1575,0.089,0.12,"negative"
333,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,"negative"
488,0.5,0.365,0.13,0.5945,0.309,0.1085,0.1535,"negative"
13,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,"negative"
189,0.52,0.395,0.125,0.663,0.3005,0.131,0.1905,"negative"
598,0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375,"negative"
352,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,"negative"
511,0.59,0.46,0.125,0.755,0.334,0.15,0.238,"negative"
10,0.505,0.405,0.11,0.625,0.305,0.16,0.175,"negative"
303,0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,"negative"
349,0.51,0.455,0.135,0.6855,0.2875,0.154,0.2035,"negative"
193,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,"negative"
289,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,"negative"
459,0.625,0.49,0.155,1.115,0.484,0.277,0.3095,"negative"
383,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,"negative"
504,0.55,0.435,0.14,0.745,0.347,0.174,0.2265,"negative"
60,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,"positive"
104,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,"negative"
237,0.58,0.435,0.14,0.953,0.475,0.2165,0.2095,"negative"
629,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,"negative"
336,0.575,0.475,0.145,0.857,0.3665,0.173,0.269,"negative"
555,0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,"negative"
370,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,"negative"
311,0.475,0.34,0.105,0.4535,0.203,0.08,0.1465,"negative"
708,0.64,0.49,0.18,1.36,0.653,0.347,0.305,"negative"
117,0.655,0.52,0.165,1.4095,0.586,0.291,0.405,"negative"
616,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,"negative"
22,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,"negative"
688,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,"negative"
112,0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,"negative"
580,0.485,0.355,0.12,0.5085,0.21,0.122,0.135,"negative"
93,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,"positive"
395,0.42,0.33,0.1,0.352,0.1635,0.089,0.1,"negative"
351,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765,"negative"
280,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,"negative"
486,0.705,0.54,0.205,1.757,0.8265,0.417,0.461,"negative"
181,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,"negative"
223,0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,"negative"
