"idx","RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Class"
65,1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0,0.18,"negative"
167,1.51316,13.02,0,3.04,70.48,6.21,6.96,0,0,"negative"
155,1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0,0,"negative"
5,1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0,0,"negative"
134,1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0,0,"negative"
173,1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0,0.12,"negative"
74,1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0,0,"negative"
161,1.52127,14.32,3.9,0.83,71.5,0,9.49,0,0,"positive"
143,1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0,"negative"
91,1.51531,14.38,0,2.66,73.1,0.04,9.08,0.64,0,"negative"
20,1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0,0.06,"negative"
174,1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0,0,"negative"
200,1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0,0.24,"negative"
22,1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0,0,"negative"
188,1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0,0.1,"positive"
130,1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0,0,"negative"
202,1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0,0,"negative"
197,1.51852,14.09,2.19,1.66,72.67,0,9.32,0,0,"negative"
26,1.53393,12.3,0,1,70.16,0.12,16.19,0,0.24,"negative"
30,1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0,0,"negative"
123,1.52777,12.64,0,0.67,72.02,0.06,14.4,0,0,"negative"
27,1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0,0,"negative"
164,1.51711,14.23,0,2.08,73.36,0,8.62,1.67,0,"negative"
140,1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0,0,"negative"
84,1.51545,14.14,0,2.68,73.39,0.08,9.07,0.61,0.05,"negative"
81,1.51321,13,0,3.02,70.7,6.21,6.93,0,0,"negative"
70,1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,"negative"
126,1.51829,14.46,2.24,1.62,72.38,0,9.26,0,0,"negative"
