"idx","Height","Lenght","Area","Eccen","P_black","P_and","Mean_tr","Blackpix","Blackand","Wb_trans","Class"
7,6,4,24,0.667,0.417,0.708,2.5,10,17,4,"negative"
18,5,19,95,3.8,0.232,0.4,5.5,22,38,4,"negative"
19,5,5,25,1,0.4,0.56,5,10,14,2,"negative"
55,9,34,306,3.778,0.32,0.886,1.56,98,271,63,"negative"
65,9,64,576,7.111,0.299,0.97,1.81,172,559,95,"negative"
76,10,34,340,3.4,0.297,0.885,1.71,101,301,59,"negative"
84,1,10,10,10,1,1,10,10,10,1,"positive"
86,1,8,8,8,1,1,8,8,8,1,"positive"
87,1,44,44,44,0.25,1,2.2,11,44,5,"positive"
92,11,20,220,1.818,0.168,0.75,3.36,37,165,11,"negative"
128,14,185,2590,13.214,0.254,0.651,2.27,657,1687,289,"negative"
134,1,12,12,12,0.583,1,3.5,7,12,2,"negative"
156,10,38,380,3.8,0.387,0.887,2.49,147,337,59,"negative"
158,9,36,324,4,0.54,0.929,2.87,175,301,61,"negative"
163,9,55,495,6.111,0.299,1,1.92,148,495,77,"negative"
165,8,23,184,2.875,0.288,1,1.47,53,184,36,"negative"
167,9,96,864,10.667,0.281,0.815,1.96,243,704,124,"negative"
185,9,82,738,9.111,0.252,0.74,2,186,546,93,"negative"
189,9,34,306,3.778,0.379,0.961,1.71,116,294,68,"negative"
203,19,2,38,0.105,0.816,0.816,31,31,31,1,"positive"
205,11,118,1298,10.727,0.26,0.817,2.01,338,1061,168,"negative"
217,9,22,198,2.444,0.298,0.965,2.11,59,191,28,"negative"
220,1,45,45,45,0.756,1,5.67,34,45,6,"positive"
221,1,75,75,75,0.813,1,5.55,61,75,11,"positive"
240,10,21,210,2.1,0.324,0.6,3.4,68,126,20,"negative"
244,8,20,160,2.5,0.525,0.938,3.5,84,150,24,"negative"
259,10,64,640,6.4,0.295,0.808,2.25,189,517,84,"negative"
263,9,12,108,1.333,0.407,0.88,1.69,44,95,26,"negative"
276,12,8,96,0.667,0.198,1,2.11,19,96,9,"negative"
278,8,75,600,9.375,0.415,0.91,2.37,249,546,105,"negative"
303,1,19,19,19,0.789,1,3.75,15,19,4,"positive"
