"idx","Height","Lenght","Area","Eccen","P_black","P_and","Mean_tr","Blackpix","Blackand","Wb_trans","Class"
1754,9,48,432,5.333,0.273,0.685,1.42,118,296,83,"negative"
1984,9,9,81,1,0.272,0.753,1.38,22,61,16,"negative"
1780,8,57,456,7.125,0.268,0.798,1.45,122,364,84,"negative"
2101,7,7,49,1,0.327,1,2,16,49,8,"negative"
5382,8,155,1240,19.375,0.366,0.964,1.64,454,1195,276,"negative"
4737,10,238,2380,23.8,0.353,0.727,2.85,840,1730,295,"negative"
1817,7,39,273,5.571,0.253,0.853,1.33,69,233,52,"negative"
2687,8,12,96,1.5,0.438,1,1.91,42,96,22,"negative"
2623,5,4,20,0.8,0.65,0.85,3.25,13,17,4,"negative"
3169,9,52,468,5.778,0.286,0.652,1.84,134,305,73,"negative"
1850,7,35,245,5,0.302,0.939,1.48,74,230,50,"negative"
4600,25,203,5075,8.12,0.837,0.929,15.22,4246,4713,279,"negative"
3435,8,41,328,5.125,0.323,0.643,1.66,106,211,64,"negative"
2244,7,10,70,1.429,0.286,0.7,1.25,20,49,16,"negative"
1775,6,25,150,4.167,0.273,0.787,1.17,41,118,35,"negative"
4512,12,72,864,6,0.635,0.94,5.97,549,812,92,"negative"
4508,9,19,171,2.111,0.55,0.86,7.23,94,147,13,"negative"
5465,1,20,20,20,0.85,1,8.5,17,20,2,"positive"
2059,7,20,140,2.857,0.307,0.85,1.48,43,119,29,"negative"
4162,54,1,54,0.019,1,1,54,54,54,1,"positive"
3783,10,251,2510,25.1,0.141,0.621,1.23,354,1559,287,"negative"
705,11,43,473,3.909,0.336,0.753,2.74,159,356,58,"negative"
5123,9,222,1998,24.667,0.202,0.711,1.52,403,1421,266,"negative"
4392,13,349,4537,26.846,0.38,0.668,4.36,1724,3029,395,"negative"
4384,13,222,2886,17.077,0.377,0.692,4.92,1087,1997,221,"negative"
309,66,3,198,0.045,0.657,0.909,2.6,130,180,50,"positive"
1996,6,10,60,1.667,0.4,0.967,1.5,24,58,16,"negative"
157,8,20,160,2.5,0.5,1,2.76,80,160,29,"negative"
982,6,172,1032,28.667,0.294,0.907,1.73,303,936,175,"negative"
365,1,52,52,52,0.538,1,14,28,52,2,"positive"
5092,7,30,210,4.286,0.271,0.871,1.33,57,183,43,"negative"
4979,6,39,234,6.5,0.342,0.936,2.05,80,219,39,"negative"
2659,9,26,234,2.889,0.316,0.88,1.85,74,206,40,"negative"
5139,6,59,354,9.833,0.237,0.881,1.38,84,312,61,"negative"
5025,8,129,1032,16.125,0.232,0.823,1.46,239,849,164,"negative"
762,11,9,99,0.818,0.545,0.818,9,54,81,6,"negative"
657,15,31,465,2.067,0.204,0.465,3.96,95,216,24,"negative"
2875,8,5,40,0.625,0.35,0.6,3.5,14,24,4,"negative"
277,12,43,516,3.583,0.293,0.791,2.29,151,408,66,"negative"
271,9,82,738,9.111,0.247,0.935,2.09,182,690,87,"negative"
2203,8,32,256,4,0.207,0.797,1.23,53,204,43,"negative"
833,7,35,245,5,0.494,0.902,2.57,121,221,47,"negative"
1046,8,62,496,7.75,0.357,0.968,1.79,177,480,99,"negative"
1104,13,121,1573,9.308,0.376,0.69,3.72,591,1086,159,"negative"
3351,8,32,256,4,0.387,0.895,1.62,99,229,61,"negative"
311,93,4,372,0.043,0.419,0.565,2.89,156,210,54,"positive"
1747,7,18,126,2.571,0.365,0.968,2,46,122,23,"negative"
2849,7,15,105,2.143,0.4,0.752,1.83,42,79,23,"negative"
399,10,64,640,6.4,0.514,0.966,2.84,329,618,116,"negative"
4922,8,298,2384,37.25,0.242,0.791,1.5,576,1886,383,"negative"
4134,10,27,270,2.7,0.63,0.833,6.07,170,225,28,"negative"
5277,7,41,287,5.857,0.261,0.885,1.32,75,254,57,"negative"
2570,10,28,280,2.8,0.375,0.657,2.33,105,184,45,"negative"
1690,9,49,441,5.444,0.231,0.685,1.46,102,302,70,"negative"
