"idx","Height","Lenght","Area","Eccen","P_black","P_and","Mean_tr","Blackpix","Blackand","Wb_trans","Class"
393,21,4,84,0.19,0.31,0.643,3.71,26,54,7,"negative"
88,1,29,29,29,1,1,29,29,29,1,"negative"
330,48,402,19296,8.375,0.055,0.094,4.13,1058,1814,256,"negative"
300,1,152,152,152,0.822,1,11.36,125,152,11,"negative"
380,9,6,54,0.667,0.407,0.519,5.5,22,28,4,"negative"
315,1,22,22,22,0.818,1,4.5,18,22,4,"negative"
209,1,34,34,34,0.353,1,1.71,12,34,7,"negative"
357,14,19,266,1.357,0.113,0.504,30,30,134,1,"negative"
384,22,22,484,1,0.107,0.473,1.79,52,229,29,"negative"
323,1,85,85,85,0.882,1,12.5,75,85,6,"negative"
432,11,48,528,4.364,0.237,0.39,7.35,125,206,17,"negative"
372,81,49,3969,0.605,0.113,0.398,2.26,449,1580,199,"negative"
272,1,106,106,106,0.434,1,1.02,46,106,45,"negative"
442,28,61,1708,2.179,0.172,0.509,1.97,294,870,149,"negative"
200,1,78,78,78,0.949,1,24.67,74,78,3,"negative"
62,3,286,858,95.333,0.406,0.427,87,348,366,4,"negative"
287,1,159,159,159,0.994,1,158,158,159,1,"negative"
244,1,184,184,184,0.967,1,44.5,178,184,4,"negative"
65,1,77,77,77,0.403,1,5.17,31,77,6,"negative"
93,2,204,408,102,0.412,0.681,10.5,168,278,16,"negative"
370,6,5,30,0.833,0.233,0.633,1.75,7,19,4,"negative"
49,1,75,75,75,0.92,1,11.5,69,75,6,"negative"
366,5,3,15,0.6,0.467,0.6,3.5,7,9,2,"negative"
277,1,10,10,10,1,1,10,10,10,1,"negative"
196,1,14,14,14,0.643,1,4.5,9,14,2,"negative"
251,1,107,107,107,0.869,1,18.6,93,107,5,"negative"
417,32,106,3392,3.313,0.198,0.395,4.56,671,1341,147,"negative"
32,2,157,314,78.5,0.506,0.551,26.5,159,173,6,"negative"
56,2,64,128,32,0.531,0.586,17,68,75,4,"negative"
51,1,40,40,40,1,1,40,40,40,1,"negative"
444,197,198,39006,1.005,0.273,0.332,46.93,10654,12964,227,"negative"
294,1,131,131,131,0.977,1,64,128,131,2,"negative"
341,7,9,63,1.286,0.143,0.238,9,9,15,1,"negative"
137,2,535,1070,267.5,0.648,0.92,11.75,693,984,59,"negative"
407,67,30,2010,0.448,0.169,0.46,2.26,339,924,150,"negative"
373,6,6,36,1,0.194,0.417,3.5,7,15,2,"negative"
91,25,300,7500,12,0.065,0.071,40.33,484,531,12,"negative"
255,3,544,1632,181.33,0.326,0.406,16.12,532,662,33,"negative"
